,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,World,"163,454,361","+283,448","3,388,663","+5,294","142,995,465","+427,795","17,070,233","102,583","20,970",434.7,,,,All,"
",,,,,
1,1,USA,"33,697,379","+1,463","599,937 ",+74,"27,098,665",+45,"5,998,777","8,000","101,287","1,803","465,258,414","1,398,471","332,690,850 ",North America,10,555,1,4,0.2,"18,031"
2,2,India,"24,853,676","+170,611","273,038 ","+2,719","21,039,370","+250,332","3,541,268","8,944","17,857",196,"314,850,143","226,220","1,391,790,362 ",Asia,56,"5,097",4,123,2,"2,544"
3,3,Brazil,"15,590,613",,"434,852 ",,"14,062,396",,"1,093,365","8,318","72,897","2,033","46,970,130","219,617","213,873,096 ",South America,14,492,5,,,"5,112"
4,4,France,"5,863,839",,"107,535 ",,"5,080,344",,"675,960","4,271","89,662","1,644","81,156,099","1,240,933","65,399,271 ",Europe,11,608,1,,,"10,336"
5,5,Turkey,"5,106,862",,"44,537 ",,"4,932,838",,"129,487","2,563","59,991",523,"50,667,653","595,199","85,127,184 ",Asia,17,"1,911",2,,,"1,521"
6,6,Russia,"4,940,245","+8,554","115,871 ",+391,"4,556,073","+8,573","268,301","2,300","33,840",794,"133,500,000","914,453","145,988,974 ",Europe,30,"1,260",1,59,3,"1,838"
7,7,UK,"4,450,777","+1,926","127,679 ",+4,"4,277,207","+1,705","45,891",129,"65,264","1,872","169,007,195","2,478,248","68,196,231 ",Europe,15,534,0,28,0.06,673
8,8,Italy,"4,159,122","+5,753","124,156 ",+93,"3,706,084","+9,603","328,882","1,779","68,877","2,056","62,902,667","1,041,705","60,384,337 ",Europe,15,486,1,95,2,"5,446"
9,9,Spain,"3,604,799",,"79,339 ",,"3,297,340",,"228,120","1,899","77,074","1,696","47,213,067","1,009,461","46,770,554 ",Europe,13,590,1,,,"4,877"
10,10,Germany,"3,597,829","+1,957","86,682 ",+13,"3,286,400","+10,900","224,747","4,376","42,823","1,032","58,093,759","691,451","84,017,137 ",Europe,23,969,1,23,0.2,"2,675"
11,11,Argentina,"3,290,935",,"70,253 ",,"2,933,946",,"286,736","5,517","72,239","1,542","12,331,859","270,696","45,556,116 ",South America,14,648,4,,,"6,294"
12,12,Colombia,"3,103,333",,"80,780 ",,"2,902,646",,"119,907","6,582","60,430","1,573","15,863,467","308,905","51,353,888 ",South America,17,636,3,,,"2,335"
