,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,World,"162,891,712","+358,941","3,376,579","+5,477","141,890,830","+433,766","17,624,303","103,420","20,897",433.2,,,,All,"
",,,,,
1,1,USA,"33,671,081","+2,150","599,341 ",+27,"26,713,260",+439,"6,358,480","8,343","101,210","1,802","464,116,423","1,395,060","332,685,557 ",North America,10,555,1,6,0.08,"19,113"
2,2,India,"24,608,001","+235,758","268,521 ","+2,292","20,679,456","+253,133","3,660,024","8,944","17,681",193,"313,017,193","224,909","1,391,753,322 ",Asia,57,"5,183",4,169,2,"2,630"
3,3,Brazil,"15,521,313",,"432,785 ",,"14,028,355",,"1,060,173","8,318","72,574","2,024","46,970,130","219,621","213,868,974 ",South America,14,494,5,,,"4,957"
4,4,France,"5,848,154",,"107,423 ",,"5,042,411",,"698,320","4,352","89,423","1,643","80,698,552","1,233,944","65,398,877 ",Europe,11,609,1,,,"10,678"
5,5,Turkey,"5,095,390",,"44,301 ",,"4,894,024",,"157,065","2,670","59,858",520,"50,463,016","592,813","85,124,706 ",Asia,17,"1,922",2,,,"1,845"
6,6,Russia,"4,931,691","+8,790","115,480 ",+364,"4,547,500","+9,866","268,711","2,300","33,781",791,"133,100,000","911,714","145,988,804 ",Europe,30,"1,264",1,60,2,"1,841"
7,7,UK,"4,448,851","+2,027","127,675 ",+7,"4,275,502","+2,061","45,674",129,"65,237","1,872","169,007,195","2,478,284","68,195,259 ",Europe,15,534,0,30,0.1,670
8,8,Italy,"4,153,374","+6,659","124,063 ",+136,"3,696,481","+13,292","332,830","1,805","68,782","2,055","62,700,094","1,038,346","60,384,578 ",Europe,15,487,1,110,2,"5,512"
9,9,Spain,"3,604,799",,"79,339 ",,"3,297,340",,"228,120","1,899","77,074","1,696","47,213,067","1,009,462","46,770,505 ",Europe,13,590,1,,,"4,877"
10,10,Germany,"3,589,825","+3,934","86,564 ",+83,"3,275,500","+16,500","227,761","4,376","42,728","1,030","58,093,759","691,457","84,016,407 ",Europe,23,971,1,47,1.0,"2,711"
11,11,Argentina,"3,269,466",,"69,853 ",,"2,913,144",,"286,469","5,457","71,770","1,533","12,224,943","268,356","45,554,984 ",South America,14,652,4,,,"6,288"
12,12,Colombia,"3,084,460",,"80,250  ",,"2,888,990",,"115,220","6,582","60,065","1,563","15,783,446","307,356","51,352,407 ",South America,17,640,3,,,"2,244"
13,13,Poland,"2,851,911","+2,896","71,609 ",+298,"2,595,635","+6,358","184,667","1,627","75,426","1,894","15,135,124","400,288","37,810,599 ",Europe,13,528,2,77,8,"4,884"
14,14,Iran,"2,739,875","+7,723","76,633 ",+200,"2,210,851","+14,654","452,391","5,396","32,263",902,"17,882,461","210,573","84,922,994 ",Asia,31,"1,108",5,91,2,"5,327"
15,15,Mexico,"2,377,995","+2,880","220,159 ",+258,"1,897,587","+2,104","260,249","4,798","18,277","1,692","6,829,477","52,492","130,105,532 ",North America,55,591,19,22,2,"2,000"
16,16,Ukraine,"2,150,244","+6,796","47,942 ",+322,"1,849,803","+17,202","252,499",177,"49,425","1,102","9,824,399","225,821","43,505,197 ",Europe,20,907,4,156,7,"5,804"
17,17,Peru,"1,879,049",,"65,608 ",,"1,720,665",,"92,776","2,685","56,311","1,966","11,972,376","358,787","33,369,044 ",South America,18,509,3,,,"2,780"
18,18,Indonesia,"1,736,670","+2,385","47,967 ",+144,"1,597,067","+4,181","91,636",,"6,292",174,"15,481,111","56,085","276,027,635 ",Asia,159,"5,755",18,9,0.5,332
19,19,Czechia,"1,652,238","+1,050","29,886 ",+7,"1,592,219",+83,"30,133",293,"154,037","2,786","21,214,900","1,977,853","10,726,227 ",Europe,6,359,1,98,0.7,"2,809"
20,20,South Africa,"1,608,393",,"55,124 ",,"1,522,165",,"31,104",546,"26,826",919,"11,052,993","184,353","59,955,627 ",Africa,37,"1,088",5,,,519
21,21,Netherlands,"1,593,728","+4,446","17,436 ",+13,"1,360,722","+8,724","215,570",704,"92,833","1,016","13,171,698","767,234","17,167,780 ",Europe,11,985,1,259,0.8,"12,557"
22,22,Canada,"1,320,868","+2,463","24,893 ",+24,"1,223,096","+2,986","72,879","1,327","34,733",655,"33,260,624","874,616","38,028,810 ",North America,29,"1,528",1,65,0.6,"1,916"
23,23,Chile,"1,280,252","+6,736","27,734 ",+87,"1,214,817","+6,421","37,701","2,953","66,478","1,440","13,881,510","720,805","19,258,354 ",South America,15,694,1,350,5,"1,958"
24,24,Philippines,"1,138,187","+6,739","19,051 ",+93,"1,062,427","+8,952","56,709","1,819","10,268",172,"12,570,563","113,409","110,842,608 ",Asia,97,"5,818",9,61,0.8,512
25,25,Iraq,"1,136,917","+2,058","15,930 ",+20,"1,039,616","+5,220","81,371",465,"27,729",389,"9,855,685","240,379","41,000,676 ",Asia,36,"2,574",4,50,0.5,"1,985"
26,26,Romania,"1,071,334",+729,"29,485 ",+72,"1,023,822","+1,793","18,027",784,"56,014","1,542","8,659,474","452,758","19,126,034 ",Europe,18,649,2,38,4,943
27,27,Sweden,"1,037,126",,"14,275 ",,"878,153",,"144,698",341,"102,141","1,406","8,798,383","866,506","10,153,859 ",Europe,10,711,1,,,"14,251"
28,28,Belgium,"1,028,104","+1,631","24,664 ",+19,"905,973",,"97,467",644,"88,375","2,120","13,210,753","1,135,591","11,633,375 ",Europe,11,472,1,140,2,"8,378"
29,29,Pakistan,"874,751","+1,531","19,467 ",+83,"783,480","+3,042","71,804","4,387","3,895",87,"12,410,924","55,259","224,594,312 ",Asia,257,"11,537",18,7,0.4,320
30,30,Portugal,"841,848",+469,"17,006 ",+7,"802,671",+386,"22,171",71,"82,771","1,672","11,091,313","1,090,498","10,170,866 ",Europe,12,598,1,46,0.7,"2,180"
31,31,Israel,"839,079",,"6,380 ",,"831,950",,749,73,"91,228",694,"14,487,253","1,575,114","9,197,590 ",Asia,11,"1,442",1,,,81
32,32,Hungary,"797,429","+1,039","29,114 ",+73,"618,608","+9,717","149,707",308,"82,729","3,020","5,622,836","583,340","9,639,032 ",Europe,12,331,2,108,8,"15,531"
33,33,Bangladesh,"779,796",+261,"12,124 ",+22,"721,435",+964,"46,237","1,149","4,694",73,"5,702,286","34,328","166,110,142 ",Asia,213,"13,701",29,2,0.1,278
34,34,Jordan,"723,345",+276,"9,243 ",+19,"710,445",,"3,657",729,"70,290",898,"6,921,815","672,619","10,290,844 ",Asia,14,"1,113",1,27,2,355
35,35,Serbia,"705,890",+705,"6,664 ",+18,"675,008","+1,970","24,218",97,"81,074",765,"4,001,180","459,548","8,706,771 ",Europe,12,"1,307",2,81,2,"2,782"
36,36,Switzerland,"679,510",,"10,730 ",,"617,283",,"51,497",179,"78,020","1,232","7,273,942","835,176","8,709,474 ",Europe,13,812,1,,,"5,913"
37,37,Japan,"671,841","+6,272","11,365 ",+110,"584,770","+5,324","75,706","1,231","5,326",90,"13,015,244","103,181","126,139,908 ",Asia,188,"11,099",10,50,0.9,600
38,38,Austria,"636,424",+644,"10,470 ",+15,"614,803","+2,280","11,151",321,"70,316","1,157","36,217,595","4,001,521","9,050,956 ",Europe,14,864,0,71,2,"1,232"
