,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
0,USA,33718260,2309,600174,27,27137693,1673,5980393,7969,101349,1804,466090176,1400949,332696143,North America
1,India,25167802,202877,276947,2536,21492926,325317,3397929,8944,18083,199,316423658,227344,1391827403,Asia
2,Brazil,15627475,0,435823,0,14097287,0,1094365,8318,73068,2038,47073060,220094,213877218,South America
3,France,5877787,0,107616,0,5116705,0,653466,4255,89875,1646,81239297,1242197,65399664,Europe
4,Turkey,5117374,0,44760,0,4947256,0,125358,2468,60113,526,50869896,597558,85129663,Asia
5,Russia,4949573,9328,116211,340,4563254,7181,270108,2300,33904,796,133800000,916507,145989144,Europe
6,UK,4452756,1979,127684,5,4279267,2060,45805,124,65292,1872,170156171,2495061,68197203,Europe
7,Italy,4162576,3455,124296,140,3715389,9305,322891,1754,68935,2058,63021591,1043679,60384095,Europe
8,Spain,3604799,0,79339,0,3297340,0,228120,1899,77074,1696,47213067,1009460,46770603,Europe
9,Germany,3604053,1114,86756,25,3300700,14300,216597,4123,42896,1033,58093759,691445,84017867,Europe
10,Argentina,3307285,0,70522,0,2952599,0,284164,5538,72596,1548,12399366,272171,45557248,South America
11,Colombia,3118426,0,81300,0,2917584,0,119542,6582,60722,1583,15925025,310095,51355369,South America
12,Poland,2855190,1109,71675,11,2605703,4729,177812,1572,75513,1896,15184082,401585,37810373,Europe
13,Iran,2765485,14319,77222,286,2242023,15901,446240,5264,32562,909,18151487,213726,84928868,Asia
14,Mexico,2381923,1233,220433,53,1901322,1580,260168,4798,18307,1694,6852082,52663,130112930,North America
15,Ukraine,2156000,2136,48184,109,1864593,6869,243223,177,49559,1108,9841788,226228,43503769,Europe
16,Peru,1889052,0,66220,0,1720665,0,102167,2680,56607,1984,12091820,362339,33371555,South America
