,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
124,Guinea,22719,0,151,0,20341,0,2227,24,1691,11,444435,33072,13438415,Africa
125,Réunion,22644,0,169,0,21603,0,872,36,25137,188,102720,114028,900832,Africa
126,Cambodia,21499,358,147,5,9867,348,11485,0,1271,9,1029636,60859,16918431,Asia
127,French Guiana,21433,0,108,0,9995,0,11330,24,70197,354,234279,767305,305327,South America
128,Mayotte,20176,0,171,0,2964,0,17041,6,72453,614,176919,635327,278469,Africa
129,French Polynesia,18797,0,141,0,18617,0,39,1,66582,499,26355,93354,282312,Australia/Oceania
130,Mauritania,18767,0,457,0,17999,0,311,14,3947,96,247170,51986,4754546,Africa
131,Eswatini,18497,0,671,0,17786,0,40,3,15802,573,196068,167503,1170532,Africa
132,Guadeloupe,16017,0,221,0,2242,0,13554,33,40024,552,195404,488287,400183,North America
133,Guyana,14845,0,333,0,12693,0,1819,12,18795,422,133695,169270,789833,South America
134,Trinidad and Tobago,14814,0,256,0,9744,0,4814,15,10556,182,149880,106797,1403408,North America
135,Somalia,14486,0,753,0,6325,0,7408,0,890,46,120132,7382,16273534,Africa
136,Mali,14149,0,508,0,9123,0,4518,0,682,24,280531,13519,20750949,Africa
137,Papua New Guinea,13707,284,136,3,11034,39,2537,0,1507,15,110286,12129,9092865,Australia/Oceania
138,Andorra,13470,0,127,0,13104,0,239,12,174094,1641,193595,2502133,77372,Europe
139,Burkina Faso,13387,0,164,0,13184,0,39,0,626,8,182822,8545,21394982,Africa
140,Haiti,13268,0,269,0,12397,0,602,0,1151,23,60085,5215,11522424,North America
141,Togo,13238,0,125,0,11834,0,1279,0,1567,15,320905,37998,8445417,Africa
142,Belize,12709,0,323,0,12331,0,55,1,31470,800,123837,306648,403841,North America
143,Curaçao,12244,0,118,0,12052,0,74,23,74353,717,102474,622288,164673,North America
144,Hong Kong,11819,1,210,0,11516,5,93,2,1566,28,14841321,1965864,7549514,Asia
145,Martinique,11736,0,90,0,98,0,11548,24,31295,240,170302,454123,375013,North America
146,Suriname,11572,0,221,0,10034,0,1317,27,19575,374,54694,92518,591171,South America
147,Djibouti,11389,0,151,0,11221,0,17,0,11385,151,152966,152907,1000383,Africa
148,Congo,11343,0,148,0,8208,0,2987,0,2013,26,141948,25192,5634723,Africa
149,Bahamas,11024,0,216,0,9967,0,841,5,27804,545,91550,230902,396488,North America
150,Aruba,10826,0,104,0,10628,0,94,14,101028,971,156035,1456121,107158,North America
151,Lesotho,10778,0,320,0,6427,0,4031,0,4997,148,86427,40070,2156917,Africa
152,South Sudan,10641,0,115,0,10462,0,64,0,941,10,156542,13845,11306940,Africa
153,Seychelles,9184,0,32,0,6413,0,2739,0,92887,324,21504,217491,98873,Africa
154,Benin,7995,0,101,0,7652,0,242,35,645,8,595112,48009,12395725,Africa
155,Equatorial Guinea,7694,0,112,0,7279,0,303,7,5334,78,123169,85389,1442446,Africa
156,Nicaragua,7086,0,184,0,4225,0,2677,0,1059,27,0,0,6692543,North America
157,CAR,6866,0,95,0,5112,0,1659,2,1401,19,40907,8345,4902067,Africa
158,Iceland,6526,0,29,0,6422,0,75,3,19018,85,622370,1813660,343157,Europe
159,Yemen,6507,0,1278,0,3003,0,2226,23,214,42,34842,1146,30390601,Asia
160,Gambia,5934,0,175,0,5648,0,111,3,2398,71,76379,30861,2474896,Africa
161,Niger,5326,0,192,0,4936,0,198,2,213,8,101658,4074,24955877,Africa
162,San Marino,5083,0,90,0,4968,0,25,4,149531,2648,63241,1860412,33993,Europe
163,Chad,4895,0,172,0,4672,0,51,0,291,10,116167,6902,16830013,Africa
164,Saint Lucia,4725,0,75,0,4502,0,148,2,25630,407,42643,231312,184353,North America
165,Gibraltar,4286,0,94,0,4189,0,3,0,127249,2791,242473,7198890,33682,Europe
166,Burundi,4261,0,6,0,773,0,3482,0,349,5,279132,22890,12194320,Africa
167,Sierra Leone,4096,0,79,0,3098,0,919,0,505,10,153257,18882,8116504,Africa
168,Channel Islands,4057,0,86,0,3956,0,15,0,23150,491,454413,2592986,175247,Europe
169,Barbados,3959,0,46,0,3908,0,5,0,13762,160,161164,560220,287680,North America
170,Timor-Leste,3879,0,8,0,2142,82,1729,0,2895,6,84361,62953,1340053,Asia
171,Comoros,3860,0,146,0,3688,0,26,0,4359,165,0,0,885528,Africa
172,Eritrea,3822,0,12,0,3639,0,171,0,1065,3,23693,6602,3588734,Africa
173,Vietnam,3816,106,35,0,2657,0,1124,0,39,4,3091540,31516,98094805,Asia
174,Guinea-Bissau,3743,0,67,0,3418,0,258,9,1864,33,65224,32483,2007958,Africa
175,Liechtenstein,2981,1,58,0,2887,0,36,3,77990,1517,39109,1023180,38223,Europe
176,New Zealand,2645,1,26,0,2601,1,18,0,529,5,2069812,413789,5002100,Australia/Oceania
177,Monaco,2490,0,32,0,2428,0,30,1,63067,810,51953,1315865,39482,Europe
178,Bermuda,2462,1,32,1,2234,12,196,7,39659,515,252609,4069154,62079,North America
179,Turks and Caicos,2404,0,17,0,2365,0,22,2,61375,434,65926,1683117,39169,North America
180,Sao Tome and Principe,2320,0,35,0,2270,0,15,0,10419,157,12999,58380,222662,Africa
181,Sint Maarten,2272,0,27,0,2213,0,32,2,52476,624,26880,620843,43296,North America
182,Liberia,2114,0,85,0,1962,0,67,2,410,16,97875,18969,5159805,Africa
183,St. Vincent Grenadines,1932,4,12,0,1769,5,151,2,17367,108,46829,420954,111245,North America
184,Saint Martin,1773,0,12,0,1399,0,362,7,45190,306,27588,703166,39234,North America
185,Isle of Man,1590,0,29,0,1555,0,6,1,18613,339,44761,523999,85422,Europe
186,Caribbean Netherlands,1590,0,17,0,1558,0,15,0,60152,643,10040,379828,26433,North America
187,Laos,1498,16,2,1,513,82,983,0,203,3,213373,28965,7366551,Asia
188,Taiwan,1290,34,12,0,1107,5,171,0,54,5,571259,23948,23854078,Asia
189,Mauritius,1277,2,17,0,1130,0,130,0,1003,13,358675,281624,1273594,Africa
190,Bhutan,1276,13,1,0,1121,0,154,0,1638,1,738413,947973,778939,Asia
191,Antigua and Barbuda,1240,0,32,0,1179,0,29,4,12572,324,16700,169321,98629,North America
192,St. Barth,974,0,1,0,462,0,511,0,98354,101,26385,2664344,9903,North America
193,Faeroe Islands,669,0,1,0,663,0,5,0,13646,20,259009,5283310,49024,Europe
194,Cayman Islands,561,0,2,0,546,0,13,0,8450,30,93352,1406158,66388,North America
195,Tanzania,509,0,21,0,183,0,305,7,8,3,0,0,61193226,Africa
196,Wallis and Futuna,445,0,7,0,44,0,394,1,40206,632,17264,1559812,11068,Australia/Oceania
197,Brunei ,232,0,3,0,220,0,9,0,526,7,123068,279006,441095,Asia
198,British Virgin Islands,219,0,1,0,193,0,25,0,7203,33,39777,1308239,30405,North America
199,Dominica,178,0,0,0,176,0,2,0,2467,0,15844,219625,72141,North America
200,Fiji,165,0,4,0,109,0,52,0,183,4,70792,78478,902057,Australia/Oceania
201,New Caledonia,124,0,0,0,58,0,66,0,431,0,31166,108265,287867,Australia/Oceania
202,Anguilla,109,0,0,0,89,0,20,0,7209,0,21630,1430650,15119,North America
203,Saint Kitts and Nevis,45,0,0,0,44,0,1,0,841,0,13691,255792,53524,North America
204,Vatican City,27,0,0,0,15,0,12,0,33624,0,0,0,803,Europe
205,Western Sahara,10,0,1,0,8,0,1,0,16,2,0,0,609951,Africa
206,Samoa,3,0,0,0,2,0,1,0,15,0,0,0,199553,Australia/Oceania
207,China,90815,7,4636,0,85894,13,285,1,63,3,160000000,111163,1439323776,Asia
208,Tajikistan,13308,0,90,0,13218,0,0,0,1369,9,0,0,9721751,Asia
209,Diamond Princess,712,0,13,0,699,0,0,0,0,0,0,0,0,Ship
210,Grenada,161,0,1,0,160,0,0,0,1425,9,28684,253899,112974,North America
211,Montserrat,20,0,1,0,19,0,0,0,4004,200,1313,262863,4995,North America
212,MS Zaandam,9,0,2,0,7,0,0,0,0,0,0,0,0,Ship
213,Vanuatu,4,0,1,0,3,0,0,0,13,3,23000,73409,313311,Australia/Oceania
214,Falkland Islands,63,0,0,0,63,0,0,0,17662,0,7258,2034763,3567,South America
215,Macao,49,0,0,0,49,0,0,0,75,0,4483,6824,656966,Asia
216,Greenland,31,0,0,0,31,0,0,0,545,0,20669,363539,56855,North America
217,Saint Pierre Miquelon,25,0,0,0,25,0,0,0,4334,0,5318,921824,5769,North America
218,Solomon Islands,20,0,0,0,20,0,0,0,29,0,4500,6416,701349,Australia/Oceania
219,Marshall Islands,4,0,0,0,4,0,0,0,67,0,0,0,59535,Australia/Oceania
220,Saint Helena,2,0,0,0,2,0,0,0,328,0,0,0,6093,Africa
221,Micronesia,1,0,0,0,1,0,0,0,9,0,0,0,116064,Australia/Oceania
