,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
0,USA,33671081,2150,599341,27,26713260,439,6358480,8343,101210,1802,464116423,1395060,332685557,North America
1,India,24608001,235758,268521,2292,20679456,253133,3660024,8944,17681,193,313017193,224909,1391753322,Asia
2,Brazil,15521313,0,432785,0,14028355,0,1060173,8318,72574,2024,46970130,219621,213868974,South America
3,France,5848154,0,107423,0,5042411,0,698320,4352,89423,1643,80698552,1233944,65398877,Europe
4,Turkey,5095390,0,44301,0,4894024,0,157065,2670,59858,520,50463016,592813,85124706,Asia
5,Russia,4931691,8790,115480,364,4547500,9866,268711,2300,33781,791,133100000,911714,145988804,Europe
6,UK,4448851,2027,127675,7,4275502,2061,45674,129,65237,1872,169007195,2478284,68195259,Europe
7,Italy,4153374,6659,124063,136,3696481,13292,332830,1805,68782,2055,62700094,1038346,60384578,Europe
8,Spain,3604799,0,79339,0,3297340,0,228120,1899,77074,1696,47213067,1009462,46770505,Europe
9,Germany,3589825,3934,86564,83,3275500,16500,227761,4376,42728,1030,58093759,691457,84016407,Europe
10,Argentina,3269466,0,69853,0,2913144,0,286469,5457,71770,1533,12224943,268356,45554984,South America
11,Colombia,3084460,0,80250,0,2888990,0,115220,6582,60065,1563,15783446,307356,51352407,South America
12,Poland,2851911,2896,71609,298,2595635,6358,184667,1627,75426,1894,15135124,400288,37810599,Europe
13,Iran,2739875,7723,76633,200,2210851,14654,452391,5396,32263,902,17882461,210573,84922994,Asia
14,Mexico,2377995,2880,220159,258,1897587,2104,260249,4798,18277,1692,6829477,52492,130105532,North America
15,Ukraine,2150244,6796,47942,322,1849803,17202,252499,177,49425,1102,9824399,225821,43505197,Europe
16,Peru,1879049,0,65608,0,1720665,0,92776,2685,56311,1966,11972376,358787,33369044,South America
17,Indonesia,1736670,2385,47967,144,1597067,4181,91636,0,6292,174,15481111,56085,276027635,Asia
18,Czechia,1652238,1050,29886,7,1592219,83,30133,293,154037,2786,21214900,1977853,10726227,Europe
19,South Africa,1608393,0,55124,0,1522165,0,31104,546,26826,919,11052993,184353,59955627,Africa
20,Netherlands,1593728,4446,17436,13,1360722,8724,215570,704,92833,1016,13171698,767234,17167780,Europe
21,Canada,1320868,2463,24893,24,1223096,2986,72879,1327,34733,655,33260624,874616,38028810,North America
22,Chile,1280252,6736,27734,87,1214817,6421,37701,2953,66478,1440,13881510,720805,19258354,South America
23,Philippines,1138187,6739,19051,93,1062427,8952,56709,1819,10268,172,12570563,113409,110842608,Asia
24,Iraq,1136917,2058,15930,20,1039616,5220,81371,465,27729,389,9855685,240379,41000676,Asia
25,Romania,1071334,729,29485,72,1023822,1793,18027,784,56014,1542,8659474,452758,19126034,Europe
26,Sweden,1037126,0,14275,0,878153,0,144698,341,102141,1406,8798383,866506,10153859,Europe
27,Belgium,1028104,1631,24664,19,905973,0,97467,644,88375,2120,13210753,1135591,11633375,Europe
28,Pakistan,874751,1531,19467,83,783480,3042,71804,4387,3895,87,12410924,55259,224594312,Asia
29,Portugal,841848,469,17006,7,802671,386,22171,71,82771,1672,11091313,1090498,10170866,Europe
30,Israel,839079,0,6380,0,831950,0,749,73,91228,694,14487253,1575114,9197590,Asia
31,Hungary,797429,1039,29114,73,618608,9717,149707,308,82729,3020,5622836,583340,9639032,Europe
32,Bangladesh,779796,261,12124,22,721435,964,46237,1149,4694,73,5702286,34328,166110142,Asia
33,Jordan,723345,276,9243,19,710445,0,3657,729,70290,898,6921815,672619,10290844,Asia
34,Serbia,705890,705,6664,18,675008,1970,24218,97,81074,765,4001180,459548,8706771,Europe
35,Switzerland,679510,0,10730,0,617283,0,51497,179,78020,1232,7273942,835176,8709474,Europe
36,Japan,671841,6272,11365,110,584770,5324,75706,1231,5326,90,13015244,103181,126139908,Asia
37,Austria,636424,644,10470,15,614803,2280,11151,321,70316,1157,36217595,4001521,9050956,Europe
38,UAE,544931,1321,1629,3,525080,1302,18222,0,54527,163,46815989,4684501,9993805,Asia
39,Lebanon,534968,0,7569,0,492270,0,35129,333,78685,1113,4163257,612346,6798866,Asia
40,Morocco,514705,0,9092,0,502604,0,3009,94,13803,244,6370615,170844,37289158,Africa
41,Malaysia,466330,4140,1866,44,422329,3432,42135,503,14250,57,10445009,319178,32724742,Asia
42,Nepal,447704,8046,4856,187,333108,5455,109740,0,15131,164,2751481,92989,29589353,Asia
43,Saudi Arabia,432269,837,7147,13,416759,1012,8363,1331,12252,203,17916457,507801,35282461,Asia
44,Bulgaria,413838,0,17243,0,361993,0,34602,504,59951,2498,2656622,384855,6902925,Europe
45,Ecuador,407002,0,19514,0,342878,0,44610,572,22770,1092,1359491,76057,17874632,South America
46,Slovakia,387420,258,12203,35,370552,476,4665,204,70931,2234,2759676,505256,5461938,Europe
47,Greece,375831,1950,11365,43,335156,0,29310,661,36211,1095,8832737,851038,10378778,Europe
48,Belarus,374714,1363,2691,10,365255,1382,6768,0,39666,285,6070189,642578,9446623,Europe
49,Panama,370043,0,6292,0,358670,0,5081,105,84611,1439,2507280,573293,4373467,North America
50,Kazakhstan,355645,2505,4039,22,312837,2669,38769,221,18747,213,10749824,566643,18971060,Asia
51,Croatia,349910,826,7687,23,335337,1131,6886,185,85694,1883,1920316,470292,4083243,Europe
52,Bolivia,329733,2509,13451,42,269288,1315,46994,200,27918,1139,1299971,110067,11810731,South America
53,Georgia,329407,1576,4426,29,307918,584,17063,0,82713,1111,4555909,1143978,3982513,Asia
