,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
0,USA,33697379,1463,599937,74,27098665,45,5998777,8000,101287,1803,465258414,1398471,332690850,North America
1,India,24853676,170611,273038,2719,21039370,250332,3541268,8944,17857,196,314850143,226220,1391790362,Asia
2,Brazil,15590613,0,434852,0,14062396,0,1093365,8318,72897,2033,46970130,219617,213873096,South America
3,France,5863839,0,107535,0,5080344,0,675960,4271,89662,1644,81156099,1240933,65399271,Europe
4,Turkey,5106862,0,44537,0,4932838,0,129487,2563,59991,523,50667653,595199,85127184,Asia
5,Russia,4940245,8554,115871,391,4556073,8573,268301,2300,33840,794,133500000,914453,145988974,Europe
6,UK,4450777,1926,127679,4,4277207,1705,45891,129,65264,1872,169007195,2478248,68196231,Europe
7,Italy,4159122,5753,124156,93,3706084,9603,328882,1779,68877,2056,62902667,1041705,60384337,Europe
8,Spain,3604799,0,79339,0,3297340,0,228120,1899,77074,1696,47213067,1009461,46770554,Europe
9,Germany,3597829,1957,86682,13,3286400,10900,224747,4376,42823,1032,58093759,691451,84017137,Europe
10,Argentina,3290935,0,70253,0,2933946,0,286736,5517,72239,1542,12331859,270696,45556116,South America
11,Colombia,3103333,0,80780,0,2902646,0,119907,6582,60430,1573,15863467,308905,51353888,South America
12,Poland,2854079,2167,71664,55,2600974,5339,181441,1589,75484,1895,15184082,401584,37810486,Europe
13,Iran,2751166,11291,76936,303,2226122,15271,448108,5337,32395,906,18018878,212172,84925931,Asia
14,Mexico,2380690,2695,220380,221,1899742,2155,260568,4798,18298,1694,6846110,52618,130109231,North America
15,Ukraine,2153864,3620,48075,133,1857724,7921,248065,177,49509,1105,9841788,226225,43504483,Europe
16,Peru,1884596,0,65911,0,1720665,0,98020,2676,56475,1975,12034432,360633,33370299,South America
17,Indonesia,1739750,3080,48093,126,1600857,3790,90800,0,6303,174,15481111,56084,276035532,Asia
18,Czechia,1652840,596,29901,8,1592263,27,30676,270,154093,2788,21298436,1985631,10726281,Europe
19,South Africa,1611143,0,55183,0,1523243,0,32717,546,26871,920,11087505,184922,59957669,Africa
20,Netherlands,1598164,4436,17449,13,1369607,8885,211108,681,93090,1016,13524699,787791,17167883,Europe
21,Canada,1326596,2915,24940,32,1230854,3984,70802,1344,34883,656,33383698,877832,38029713,North America
22,Chile,1286548,6296,27832,98,1220351,5534,38365,2954,66803,1445,13947396,724209,19258802,South America
23,Philippines,1143963,5790,19191,140,1069868,7541,54904,1819,10320,173,12618348,113836,110846594,Asia
24,Iraq,1139373,2456,15954,24,1045240,5624,78179,456,27787,389,9872873,240783,41003148,Asia
25,Romania,1071899,565,29523,38,1025145,1323,17231,777,56045,1544,8678223,453747,19125685,Europe
26,Sweden,1037126,0,14275,0,892260,14107,130591,306,102139,1406,9481745,933791,10154031,Europe
27,Belgium,1030071,1967,24686,22,910652,4679,94733,622,88543,2122,13252380,1139155,11633513,Europe
28,Pakistan,877130,2379,19543,76,788768,5288,68819,4376,3905,87,12444042,55404,224606051,Asia
29,Portugal,841848,0,17006,0,802671,0,22171,71,82771,1672,11133009,1094607,10170786,Europe
30,Israel,839117,0,6381,0,831981,0,755,66,91232,694,14487253,1575114,9197590,Asia
31,Hungary,798147,718,29175,61,625088,6480,143884,261,82804,3027,5638662,584986,9638965,Europe
32,Bangladesh,780159,363,12149,25,722036,601,45974,1149,4697,73,5707716,34360,166114622,Asia
33,Jordan,724154,809,9259,16,710445,0,4450,729,70367,900,6940992,674464,10291121,Asia
34,Serbia,706458,568,6681,17,677135,2127,22642,99,81140,767,4009511,460510,8706675,Europe
35,Switzerland,679510,0,10731,1,617283,0,51496,187,78018,1232,7273942,835159,8709646,Europe
36,Japan,677988,6425,11463,98,590044,5274,76481,1223,5375,91,13084423,103730,126138855,Asia
37,Austria,637097,673,10474,4,616148,1345,10475,293,70389,1157,36393075,4020847,9051096,Europe
38,UAE,546182,1251,1631,2,526302,1222,18249,0,54650,163,46919907,4694746,9994131,Asia
39,Lebanon,535446,0,7602,0,497198,0,30646,333,78756,1118,4163257,612353,6798783,Asia
40,Morocco,514944,127,9098,0,503181,297,2665,96,13809,244,6380889,171114,37290353,Africa
41,Malaysia,470110,3780,1902,36,426319,3990,41889,520,14365,58,10503288,320948,32725875,Asia
42,Nepal,455020,7316,5001,145,339756,6648,110263,0,15377,169,2771020,93645,29590786,Asia
43,Saudi Arabia,432269,0,7147,0,416759,0,8363,1331,12251,203,17916457,507779,35283944,Asia
44,Bulgaria,414041,0,17250,0,362327,0,34464,501,59982,2499,2663903,385917,6902783,Europe
45,Ecuador,409520,0,19692,0,342878,0,46950,593,22910,1102,1366625,76453,17875364,South America
46,Slovakia,387523,103,12224,21,370895,343,4404,193,70950,2238,2762414,505756,5461946,Europe
47,Belarus,376341,1627,2701,10,367097,1842,6543,0,39839,286,6090900,644771,9446615,Europe
48,Greece,375831,0,11365,0,335156,0,29310,661,36212,1095,8832737,851050,10378639,Europe
49,Panama,370533,0,6296,0,358938,0,5299,105,84719,1440,2516022,575268,4373653,North America
50,Kazakhstan,358104,2459,4054,15,316003,3166,38047,221,18876,214,10749824,566625,18971673,Asia
51,Croatia,350390,480,7708,21,336450,1113,6232,181,85813,1888,1927262,472001,4083174,Europe
52,Georgia,330375,968,4442,16,308821,903,17112,0,82957,1115,4579651,1149946,3982492,Asia
53,Azerbaijan,329843,472,4779,11,314900,1122,10164,0,32279,468,3384053,331166,10218586,Asia
54,Bolivia,329733,0,13451,0,269288,0,46994,200,27917,1139,1299971,110063,11811166,South America
55,Tunisia,325832,0,11779,0,286940,0,27113,445,27321,988,1383545,116011,11926024,Africa
56,Paraguay,311746,0,7534,0,258338,0,45874,584,43246,1045,1188141,164823,7208585,South America
57,Palestine,303658,0,3423,0,291191,0,9044,78,58351,658,1787484,343486,5203952,Asia
58,Kuwait,290801,0,1687,0,276792,0,12322,194,67232,390,2453107,567147,4325344,Asia
59,Costa Rica,282741,0,3547,0,221903,0,57291,489,55067,691,1093074,212887,5134536,North America
60,Dominican Republic,277188,916,3582,13,233830,399,39776,289,25332,327,1478358,135104,10942402,North America
61,Denmark,266503,964,2502,0,250951,694,13050,32,45870,431,46740649,8044924,5809955,Europe
62,Ethiopia,265832,0,3976,0,218866,0,42990,596,2264,34,2648487,22555,117424460,Africa
63,Lithuania,265536,740,4103,14,239915,213,21518,185,98746,1526,3105619,1154901,2689077,Europe
64,Ireland,254870,0,4941,0,237461,297,12468,39,51120,991,4729538,948625,4985679,Europe
65,Moldova,253845,109,6027,11,244857,193,2961,149,63055,1497,1048032,260330,4025790,Europe
66,Slovenia,249310,292,4324,4,237424,363,7562,120,119907,2080,1230743,591935,2079187,Europe
67,Egypt,244520,0,14269,0,180577,0,49674,90,2351,137,2715258,26107,104005913,Africa
68,Guatemala,241117,0,7872,0,220536,0,12709,5,13246,432,1342689,73764,18202607,North America
69,Uruguay,238079,0,3419,0,206670,0,27990,496,68331,981,1993646,572195,3484208,South America
