,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,World,"164,622,482","+345,560","3,411,065","+6,937","144,706,048","+521,502","16,505,369","101,162","21,120",437.6,,,,All,"
",,,,,
33,33,Bangladesh,"782,129","+1,272","12,211 ",+30,"724,209","+1,115","45,709","1,156","4,708",74,"5,734,918","34,522","166,123,581 ",Asia,212,"13,604",29,8,0.2,275
34,34,Jordan,"726,432","+1,174","9,295 ",+19,"710,445",,"6,692",729,"70,584",903,"7,001,979","680,354","10,291,674 ",Asia,14,"1,107",1,114,2,650
35,35,Serbia,"707,719",+686,"6,710 ",+14,"681,248","+1,992","19,761",86,"81,286",771,"4,030,710","462,955","8,706,484 ",Europe,12,"1,298",2,79,2,"2,270"
36,36,Japan,"687,825","+3,680","11,591 ",+83,"602,356","+7,179","73,878","1,235","5,453",92,"13,220,299","104,809","126,136,748 ",Asia,183,"10,882",10,29,0.7,586
37,37,Switzerland,"683,400","+1,240","10,747 ",+3,"621,695",,"50,958",174,"78,462","1,234","7,360,542","845,069","8,709,992 ",Europe,13,810,1,142,0.3,"5,851"
38,38,Austria,"638,155",+582,"10,499 ",+19,"618,798","+1,491","8,858",275,"70,504","1,160","36,840,818","4,070,190","9,051,376 ",Europe,14,862,0,64,2,979
39,39,UAE,"548,681","+1,270","1,637 ",+4,"528,769","+1,250","18,275",,"54,897",164,"47,264,038","4,728,870","9,994,784 ",Asia,18,"6,106",0,127,0.4,"1,828"
40,40,Lebanon,"535,954",,"7,631 ",,"500,872",,"27,451",323,"78,833","1,122","4,206,316","618,702","6,798,617 ",Asia,13,891,2,,,"4,038"
41,41,Morocco,"515,023",,"9,104 ",,"503,483",,"2,436",95,"13,810",244,"6,384,989","171,213","37,292,743 ",Africa,72,"4,096",6,,,65
42,42,Malaysia,"479,421","+4,865","1,994 ",+47,"432,600","+3,497","44,827",531,"14,649",61,"10,663,780","325,829","32,728,141 ",Asia,68,"16,413",3,149,1,"1,370"
43,43,Nepal,"472,354","+8,136","5,411 ",+196,"352,414","+6,891","114,529",,"15,961",183,"2,812,959","95,053","29,593,654 ",Asia,63,"5,469",11,275,7,"3,870"
44,44,Saudi Arabia,"435,027","+1,047","7,188 ",+14,"419,761",+847,"8,078","1,384","12,328",204,"18,106,104","513,111","35,286,908 ",Asia,81,"4,909",2,30,0.4,229
45,45,Bulgaria,"414,869",,"17,343 ",,"364,682",,"32,844",490,"60,104","2,513","2,684,714","388,948","6,902,499 ",Europe,17,398,3,,,"4,758"
46,46,Ecuador,"410,870",,"19,786 ",,"354,499",,"36,585",600,"22,983","1,107","1,370,618","76,670","17,876,829 ",South America,44,904,13,,,"2,047"
47,47,Slovakia,"387,892",+233,"12,248 ",+10,"371,371",+367,"4,273",188,"71,017","2,242","2,772,844","507,665","5,461,960 ",Europe,14,446,2,43,2,782
48,48,Greece,"378,485",,"11,471 ",,"340,612",,"26,402",647,"36,469","1,105","8,879,508","855,579","10,378,362 ",Europe,27,905,1,,,"2,544"
49,49,Belarus,"377,532",,"2,711 ",,"367,840",,"6,981",,"39,965",287,"6,105,215","646,287","9,446,598 ",Europe,25,"3,485",2,,,739
50,50,Panama,"371,145",,"6,297 ",,"359,481",,"5,367",105,"84,852","1,440","2,528,006","577,959","4,374,024 ",North America,12,695,2,,,"1,227"
51,51,Kazakhstan,"362,030","+1,837","4,095 ",+22,"320,241","+2,500","37,694",221,"19,081",216,"10,989,671","579,230","18,972,900 ",Asia,52,"4,633",2,97,1,"1,987"
52,52,Croatia,"350,997",+491,"7,765 ",+27,"338,361",+886,"4,871",166,"85,965","1,902","1,937,595","474,547","4,083,037 ",Europe,12,526,2,120,7,"1,193"
53,53,Bolivia,"334,824","+2,257","13,566 ",+49,"273,403","+1,713","47,855",200,"28,346","1,148","1,319,283","111,690","11,812,036 ",South America,35,871,9,191,4,"4,051"
54,54,Georgia,"332,441","+1,562","4,499 ",+30,"312,349","+1,490","15,593",,"83,476","1,130","4,621,001","1,160,341","3,982,451 ",Asia,12,885,1,392,8,"3,915"
55,55,Azerbaijan,"330,269",,"4,792 ",,"315,415",,"10,062",,"32,319",469,"3,392,930","332,019","10,219,085 ",Asia,31,"2,133",3,,,985
56,56,Tunisia,"327,473",,"11,899 ",,"288,935",,"26,639",445,"27,457",998,"1,392,064","116,718","11,926,699 ",Africa,36,"1,002",9,,,"2,234"
57,57,Paraguay,"315,547",,"7,692 ",,"262,336",,"45,519",560,"43,771","1,067","1,200,299","166,499","7,209,064 ",South America,23,937,6,,,"6,314"
58,58,Palestine,"304,074",,"3,437 ",,"293,808",,"6,829",66,"58,424",660,"1,793,407","344,581","5,204,602 ",Asia,17,"1,514",3,,,"1,312"
59,59,Kuwait,"292,490",,"1,696 ",,"278,824",,"11,970",191,"67,617",392,"2,467,673","570,469","4,325,689 ",Asia,15,"2,551",2,,,"2,767"
60,60,Costa Rica,"288,626",,"3,625 ",,"224,354",,"60,647",489,"56,210",706,"1,093,074","212,876","5,134,790 ",North America,18,"1,416",5,,,"11,811"
61,61,Dominican Republic,"278,549",+630,"3,597 ",+8,"234,370",+272,"40,582",302,"25,455",329,"1,487,136","135,898","10,942,996 ",North America,39,"3,042",7,58,0.7,"3,708"
62,62,Denmark,"268,255",+916,"2,503 ",,"252,686","+1,021","13,066",23,"46,171",431,"47,951,266","8,253,136","5,810,066 ",Europe,22,"2,321",0,158,,"2,249"
63,63,Lithuania,"266,795",+685,"4,126 ",+10,"242,103","+2,024","20,566",191,"99,222","1,534","3,129,567","1,163,896","2,688,871 ",Europe,10,652,1,255,4,"7,649"
64,64,Ethiopia,"266,646",,"4,008 ",,"220,642",,"41,996",569,"2,270",34,"2,656,382","22,619","117,440,068 ",Africa,440,"29,301",44,,,358
65,65,Ireland,"256,390",+358,"4,941 ",,"238,567",+270,"12,882",39,"51,422",991,"4,729,538","948,567","4,985,980 ",Europe,19,"1,009",1,72,,"2,584"
