,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,World,"164,622,482","+345,560","3,411,065","+6,937","144,706,048","+521,502","16,505,369","101,162","21,120",437.6,,,,All,"
",,,,,
145,146,Suriname,"12,107",,230 ,,"10,325",,"1,552",29,"20,478",389,"56,137","94,950","591,228 ",South America,49,"2,571",11,,,"2,625"
146,147,Hong Kong,"11,827",+1,210 ,,"11,535",+4,82,2,"1,566",28,"14,841,321","1,965,692","7,550,178 ",Asia,638,"35,953",1,0.1,,11
147,148,Martinique,"11,736",,90 ,,98,,"11,548",24,"31,295",240,"170,302","454,127","375,010 ",North America,32,"4,167",2,,,"30,794"
148,149,Djibouti,"11,434",,151 ,,"11,266",,17,,"11,428",151,"154,011","153,928","1,000,540 ",Africa,88,"6,626",6,,,17
149,150,Congo,"11,343",,148 ,,"8,208",,"2,987",,"2,013",26,"141,948","25,185","5,636,212 ",Africa,497,"38,083",40,,,530
150,151,Bahamas,"11,225",,221 ,,"10,080",,924,8,"28,308",557,"92,954","234,419","396,529 ",North America,35,"1,794",4,,,"2,330"
151,152,Aruba,"10,857",,105 ,,"10,672",,80,14,"101,313",980,"158,379","1,477,926","107,163 ",North America,10,"1,021",1,,,747
152,153,Lesotho,"10,790",,320 ,,"6,427",,"4,043",,"5,002",148,"87,981","40,787","2,157,103 ",Africa,200,"6,741",25,,,"1,874"
153,154,South Sudan,"10,652",,115 ,,"10,462",,75,,942,10,"159,088","14,068","11,308,374 ",Africa,"1,062","98,334",71,,,7
154,155,Seychelles,"9,764",,35 ,,"7,826",,"1,903",,"98,746",354,"21,504","217,476","98,880 ",Africa,10,"2,825",5,,,"19,246"
155,156,Benin,"7,995",,101 ,,"7,652",,242,35,645,8,"595,112","47,996","12,399,208 ",Africa,"1,551","122,764",21,,,20
156,157,Equatorial Guinea,"7,694",,112 ,,"7,279",,303,7,"5,332",78,"123,169","85,359","1,442,953 ",Africa,188,"12,884",12,,,210
157,158,Nicaragua,"7,086",,184 ,,"4,225",,"2,677",,"1,059",27,,,"6,693,404 ",North America,945,"36,377",,,,400
158,159,CAR,"6,866",,95 ,,"5,112",,"1,659",2,"1,400",19,"40,907","8,343","4,902,986 ",Africa,714,"51,610",120,,,338
159,160,Yemen,"6,568",,"1,294 ",,"3,042",,"2,232",23,216,43,"38,810","1,277","30,397,797 ",Asia,"4,628","23,491",783,,,73
160,161,Iceland,"6,549",+1,29 ,,"6,462",+6,58,55,"19,083",85,"633,116","1,844,846","343,181 ",Europe,52,"11,834",1,3,,169
161,162,Gambia,"5,957",,175 ,,"5,701",,81,3,"2,406",71,"76,379","30,852","2,475,641 ",Africa,416,"14,147",32,,,33
162,163,Niger,"5,339",,192 ,,"4,975",,172,2,214,8,"102,694","4,113","24,965,512 ",Africa,"4,676","130,029",243,,,7
163,164,San Marino,"5,087",,90 ,,"4,974",,23,4,"149,648","2,648","64,241","1,889,830","33,993 ",Europe,7,378,1,,,677
164,165,Chad,"4,904",,173 ,,"4,691",,40,,291,10,"116,939","6,946","16,835,185 ",Africa,"3,433","97,313",144,,,2
165,166,Saint Lucia,"4,818",,76 ,,"4,521",,221,2,"26,133",412,"43,260","234,647","184,362 ",North America,38,"2,426",4,,,"1,199"
166,167,Timor-Leste,"4,765",+176,10 ,,"2,517",+111,"2,238",,"3,555",7,"85,558","63,834","1,340,328 ",Asia,281,"134,033",16,131,,"1,670"
167,168,Vietnam,"4,512",+153,37 ,,"2,687",+19,"1,788",,46,0.4,"3,091,540","31,513","98,104,367 ",Asia,"21,743","2,651,469",32,2,,18
168,169,Burundi,"4,347",,6 ,,773,,"3,568",,356,0.5,"279,132","22,883","12,198,207 ",Africa,"2,806","2,033,035",44,,,293
169,171,Sierra Leone,"4,107",,79 ,,"3,104",,924,,506,10,"153,257","18,878","8,118,280 ",Africa,"1,977","102,763",53,,,114
170,172,Channel Islands,"4,059",,86 ,,"3,956",,17,,"23,159",491,"454,413","2,592,734","175,264 ",Europe,43,"2,038",0,,,97
171,174,Eritrea,"3,868",,14 ,,"3,676",,178,,"1,078",4,"23,693","6,601","3,589,270 ",Africa,928,"256,376",151,,,50
172,175,Comoros,"3,863",,146 ,,"3,699",,18,,"4,361",165,,,"885,730 ",Africa,229,"6,067",,,,20
173,176,Guinea-Bissau,"3,746",,67 ,,"3,438",,241,9,"1,865",33,"65,627","32,675","2,008,468 ",Africa,536,"29,977",31,,,120
174,177,Liechtenstein,"2,990",,58 ,,"2,887",,45,3,"78,223","1,517","39,109","1,023,153","38,224 ",Europe,13,659,1,,,"1,177"
175,178,New Zealand,"2,653",+2,26 ,,"2,608",+1,19,,530,5,"2,085,298","416,885","5,002,100 ",Australia/Oceania,"1,885","192,388",2,0.4,,4
176,179,Monaco,"2,494",,32 ,,"2,446",,16,1,"63,163",810,"51,953","1,315,765","39,485 ",Europe,16,"1,234",1,,,405
177,180,Bermuda,"2,477",,32 ,,"2,284",,161,7,"39,903",515,"256,914","4,138,701","62,076 ",North America,25,"1,940",0,,,"2,594"
178,181,Turks and Caicos,"2,404",,17 ,,"2,365",,22,2,"61,367",434,"65,926","1,682,902","39,174 ",North America,16,"2,304",1,,,562
179,182,Sao Tome and Principe,"2,332",+3,35 ,,"2,277",+1,20,,"10,471",157,"13,418","60,250","222,706 ",Africa,96,"6,363",17,13,,90
180,183,Sint Maarten,"2,292",,27 ,,"2,229",,36,2,"52,932",624,"28,642","661,463","43,301 ",North America,19,"1,604",2,,,831
181,184,Taiwan,"2,260",+245,14 ,+2,"1,127",+4,"1,119",,95,0.6,"610,865","25,608","23,854,548 ",Asia,"10,555","1,703,896",39,10,0.08,47
182,185,Liberia,"2,131",+2,85 ,,"2,016",+54,30,2,413,16,"101,625","19,691","5,161,107 ",Africa,"2,422","60,719",51,0.4,,6
183,186,St. Vincent Grenadines,"1,940",+3,12 ,,"1,774",+2,154,2,"17,438",108,"47,280","424,993","111,249 ",North America,57,"9,271",2,27,,"1,384"
184,187,Saint Martin,"1,773",,12 ,,"1,399",,362,7,"45,182",306,"27,588","703,040","39,241 ",North America,22,"3,270",1,,,"9,225"
185,188,Laos,"1,687",+49,2 ,,686,+104,999,,229,0.3,"223,820","30,379","7,367,706 ",Asia,"4,367","3,683,853",33,7,,136
186,189,Caribbean Netherlands,"1,599",,17 ,,"1,564",,18,,"60,486",643,"10,072","380,996","26,436 ",North America,17,"1,555",3,,,681
187,190,Isle of Man,"1,591",,29 ,,"1,558",,4,1,"18,624",339,"44,761","523,968","85,427 ",Europe,54,"2,946",2,,,47
188,191,Bhutan,"1,309",+13,1 ,,"1,186",+9,122,,"1,680",1,"749,679","962,321","779,032 ",Asia,595,"779,032",1,17,,157
189,192,Mauritius,"1,287",,17 ,,"1,145",,125,,"1,011",13,"358,675","281,619","1,273,617 ",Africa,990,"74,919",4,,,98
190,193,Antigua and Barbuda,"1,251",,42 ,,"1,182",,27,4,"12,683",426,"16,700","169,306","98,638 ",North America,79,"2,349",6,,,274
191,194,St. Barth,974,,1 ,,462,,511,,"98,354",101,"26,385","2,664,344","9,903 ",North America,10,"9,903",0,,,"51,601"
192,196,Faeroe Islands,670,,1 ,,667,,2,,"13,666",20,"260,878","5,321,217","49,026 ",Europe,73,"49,026",0,,,41
193,197,Cayman Islands,565,,2 ,,547,,16,,"8,510",30,"93,583","1,409,467","66,396 ",North America,118,"33,198",1,,,241
194,198,Tanzania,509,,21 ,,183,,305,7,8,0.3,,,"61,211,895 ",Africa,"120,259","2,914,852",,,,5
195,199,Wallis and Futuna,445,,7 ,,436,,2,1,"40,213",633,"17,264","1,560,094","11,066 ",Australia/Oceania,25,"1,581",1,,,181
196,200,British Virgin Islands,248,,1 ,,209,,38,,"8,156",33,"39,777","1,308,153","30,407 ",North America,123,"30,407",1,,,"1,250"
197,201,Brunei ,232,,3 ,,220,,9,,526,7,"123,068","278,977","441,141 ",Asia,"1,901","147,047",4,,,20
198,202,Fiji,178,+4,4 ,,119,,55,,197,4,"73,292","81,243","902,128 ",Australia/Oceania,"5,068","225,532",12,4,,61
199,203,Dominica,178,, ,,176,,2,,"2,467",,"15,844","219,619","72,143 ",North America,405,,5,,,28
200,205,New Caledonia,124,, ,,58,,66,,431,,"32,150","111,672","287,897 ",Australia/Oceania,"2,322",,9,,,229
201,206,Anguilla,109,, ,,95,,14,,"7,209",,"21,728","1,437,037","15,120 ",North America,139,,1,,,926
202,208,Macao,50,, ,,49,,1,,76,,"4,483","6,823","657,063 ",Asia,"13,141",,147,,,2
203,211,Vatican City,27,, ,,15,,12,,"33,624",,,,803 ,Europe,30,,,,,"14,944"
204,215,Western Sahara,10,,1 ,,8,,1,,16,2,,,"610,112 ",Africa,"61,011","610,112",,,,2
205,219,Samoa,3,, ,,2,,1,,15,,,,"199,568 ",Australia/Oceania,"66,523",,,,,5
206,222,China,"90,894",+22,"4,636 ",,"85,963",+18,295,2,63,3,"160,000,000","111,163","1,439,323,776 ",Asia,"15,835","310,467",9,0.02,,0.2
207,142,Tajikistan,"13,308",,90 ,,"13,218",,0,,"1,369",9,,,"9,724,098 ",Asia,731,"108,046",,,,
208,170,Gibraltar,"4,286",,94 ,,"4,192",,0,,"127,249","2,791","245,473","7,287,958","33,682 ",Europe,8,358,0,,,
209,173,Barbados,"3,968",,46 ,,"3,922",,0,,"13,793",160,"163,093","566,919","287,683 ",North America,73,"6,254",2,,,
210,195,Diamond Princess,712,,13 ,,699,,0,,,,,, ,,,,,,,
211,204,Grenada,161,,1 ,,160,,0,,"1,425",9,"28,684","253,888","112,979 ",North America,702,"112,979",4,,,
212,213,Montserrat,20,,1 ,,19,,0,,"4,004",200,"1,408","281,882","4,995 ",North America,250,"4,995",4,,,
213,216,MS Zaandam,9,,2 ,,7,,0,,,,,, ,,,,,,,
214,217,Vanuatu,4,,1 ,,3,,0,,13,3,"23,000","73,391","313,390 ",Australia/Oceania,"78,348","313,390",14,,,
215,207,Falkland Islands,63,, ,,63,,0,,"17,657",,"7,258","2,034,193","3,568 ",South America,57,,0,,,
216,209,Saint Kitts and Nevis,45,, ,,45,,0,,841,,"14,008","261,695","53,528 ",North America,"1,190",,4,,,
217,210,Greenland,31,, ,,31,,0,,545,,"20,669","363,532","56,856 ",North America,"1,834",,3,,,
218,212,Saint Pierre Miquelon,25,, ,,25,,0,,"4,334",,"5,318","921,824","5,769 ",North America,231,,1,,,
219,214,Solomon Islands,20,, ,,20,,0,,29,,"4,500","6,415","701,534 ",Australia/Oceania,"35,077",,156,,,
220,218,Marshall Islands,4,, ,,4,,0,,67,,,,"59,539 ",Australia/Oceania,"14,885",,,,,
221,220,Saint Helena,2,, ,,2,,0,,328,,,,"6,093 ",Africa,"3,047",,,,,
222,221,Micronesia,1,, ,,1,,0,,9,,,,"116,077 ",Australia/Oceania,"116,077",,,,,
