,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
0,USA,33590587,4451,597864,79,26621706,1477,6371017,8702,100971,1797,461566957,1387441,332674970,North America
1,India,23943878,241046,261053,2702,19983310,254874,3699515,8944,17205,188,309448585,222356,1391679242,Asia
2,Brazil,15361686,0,428256,0,13924217,0,1009213,8318,71830,2002,46970130,219630,213860730,South America
3,France,5821668,0,107119,0,4960097,0,754452,4583,89019,1638,79684856,1218458,65398090,Europe
4,Turkey,5072462,0,43821,0,4801291,0,227350,2827,59592,515,50058648,588097,85119750,Asia
5,Russia,4913439,8380,114723,392,4527878,9349,270838,2300,33656,786,132400000,906921,145988463,Europe
6,UK,4444631,2657,127651,11,4258298,2195,58682,136,65177,1872,169007195,2478354,68193314,Europe
7,Italy,4139160,8085,123745,201,3669407,14295,346008,1893,68546,2049,62107222,1028520,60385062,Europe
8,Spain,3592751,0,79208,0,3291156,0,222387,1991,76817,1694,47213067,1009465,46770406,Europe
9,Germany,3569249,11101,86189,180,3240300,20000,242760,5049,42483,1026,58093759,691469,84014947,Europe
10,Argentina,3215572,0,68807,0,2869341,0,277424,5394,70590,1510,12066534,264892,45552720,South America
11,Colombia,3048719,0,79261,0,2859627,0,109831,6582,59372,1544,15639108,304562,51349445,South America
12,Poland,2845762,3730,71021,342,2584751,2232,189990,1772,75263,1878,15017415,397172,37810825,Europe
13,Iran,2722007,14246,76231,297,2179890,17803,465886,5481,32055,898,17616446,207455,84917119,Asia
14,Mexico,2371483,3090,219590,267,1893236,2184,258657,4798,18228,1688,6791913,52206,130098135,North America
15,Ukraine,2135886,6813,47333,346,1816643,19507,271910,177,49093,1088,9721036,223438,43506626,Europe
16,Peru,1865639,0,64898,0,1720665,0,80076,2670,55913,1945,11832582,354624,33366534,South America
17,Indonesia,1731652,3448,47716,99,1589079,4201,94857,0,6274,173,15410887,55834,276011839,Asia
18,Czechia,1649947,1261,29825,13,1587457,83,32665,337,153825,2781,20767772,1936187,10726119,Europe
19,South Africa,1602031,0,54968,0,1519734,0,27329,546,26722,917,10968926,182963,59951541,Africa
20,Netherlands,1583767,6013,17413,14,1346626,6669,219728,716,92253,1014,13171698,767243,17167573,Europe
21,Canada,1309329,3559,24802,36,1208535,4207,75992,1327,34432,652,33001128,867834,38027004,North America
22,Chile,1260448,0,27384,0,1199432,0,33632,3036,65452,1422,13689304,710857,19257458,South America
23,Iraq,1132092,4512,15883,28,1028627,5043,87582,471,27615,387,9817969,239488,40995731,Asia
24,Philippines,1124724,6385,18821,107,1050643,4289,55260,750,10148,170,12467422,112487,110834638,Asia
25,Romania,1069770,953,29308,75,1020194,1552,20268,829,55931,1532,8592149,449222,19126731,Europe
26,Sweden,1027934,0,14267,0,871072,8837,142595,346,101239,1405,8798383,866536,10153515,Europe
27,Belgium,1023583,3251,24630,21,897904,0,101049,657,87989,2117,13125499,1128289,11633100,Europe
28,Pakistan,870703,3265,19336,126,776315,4623,75052,4567,3877,86,12349976,54994,224570836,Asia
29,Portugal,840929,436,16999,1,801961,340,21969,70,82679,1671,11011029,1082588,10171028,Europe
30,Israel,839042,12,6379,0,831855,29,808,70,91224,694,14466175,1572822,9197590,Asia
31,Hungary,795200,1416,28970,82,600461,8021,165769,354,82497,3005,5588435,579763,9639165,Europe
32,Bangladesh,778687,1290,12076,31,719619,1370,46992,1149,4688,73,5690693,34260,166101183,Asia
33,Jordan,722754,418,9203,23,710410,1556,3141,729,70236,894,6903678,670892,10290291,Asia
34,Serbia,704398,901,6629,18,671361,2051,26408,98,80901,761,3977053,456767,8706962,Europe
35,Switzerland,677210,0,10725,0,612471,0,54014,190,77759,1231,7216520,828616,8709128,Europe
36,Japan,658629,7058,11165,101,573913,5355,73551,1214,5221,89,12789711,101391,126142014,Asia
