,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
134,Guadeloupe,16017,657,221,11,2242,13554,33,40024,552,195404,488287,400183,Africa
135,Guyana,14531,89,331,4,12443,1757,16,18398,419,130875,165704,789813,North America
136,Somalia,14486,71,753,6,6325,7408,0,890,46,120132,7383,16271101,Europe
137,Mali,14133,18,506,4,9073,4554,0,681,24,279721,13482,20747749,North America
138,Trinidad and Tobago,13802,348,224,9,9500,4078,71,9835,160,147470,105082,1403383,Africa
139,Andorra,13447,18,127,0,13070,250,12,173799,1641,193595,2502165,77371,North America
140,Burkina Faso,13384,2,164,2,13180,40,0,626,8,182551,8534,21391839,South America
141,Tajikistan,13308,0,90,0,13218,0,0,1369,9,0,0,9720578,North America
142,Haiti,13227,0,266,0,12304,657,0,1148,23,60085,5215,11521665,Asia
143,Togo,13167,0,125,0,11694,1348,0,1559,15,318622,37732,8444354,Africa
144,Belize,12704,4,323,0,12307,74,1,31461,800,122702,303867,403802,North America
145,Curaçao,12236,0,117,1,11992,127,22,74306,711,101029,613524,164670,Africa
146,Papua New Guinea,12226,140,121,0,10667,1438,0,1345,13,104674,11513,9091937,Africa
147,Hong Kong,11813,1,210,0,11503,100,3,1565,28,14841321,1965951,7549182,North America
148,Martinique,11736,178,90,7,98,11548,24,31295,240,170302,454121,375015,Australia/Oceania
149,Djibouti,11369,14,151,2,11182,36,0,11366,151,152660,152614,1000304,Africa
150,Congo,11343,0,148,0,8208,2987,0,2013,26,92500,16418,5633978,North America
151,Suriname,11306,93,220,2,9907,1179,25,19126,372,53811,91029,591142,South America
152,Bahamas,10908,0,214,0,9854,840,5,27513,540,90693,228753,396467,North America
153,Aruba,10795,14,104,2,10596,95,14,100741,971,154991,1446405,107156,Asia
154,Lesotho,10773,0,319,0,6427,4027,0,4995,148,84079,38983,2156825,Africa
155,South Sudan,10641,0,115,0,10462,64,0,941,10,156542,13846,11306223,Africa
156,Seychelles,8172,0,28,0,5658,2486,0,82654,283,21504,217498,98870,North America
157,Benin,7995,111,101,1,7652,242,35,645,8,595112,48016,12393984,Europe
158,Equatorial Guinea,7694,0,112,0,7279,303,7,5335,78,123169,85404,1442193,Africa
159,Nicaragua,7086,97,184,1,4225,2677,0,1059,27,0,0,6692112,Asia
160,CAR,6674,0,93,0,5112,1469,2,1362,19,40907,8346,4901608,Africa
161,Iceland,6522,3,29,0,6409,84,3,19007,85,619998,1806811,343145,Africa
162,Yemen,6492,7,1276,1,3003,2213,23,214,42,34287,1128,30387003,Europe
163,Gambia,5934,5,175,0,5648,111,3,2398,71,76379,30866,2474524,Africa
164,Niger,5324,2,192,0,4929,203,2,213,8,101502,4068,24951059,Africa
165,San Marino,5083,0,90,0,4968,25,4,149535,2648,63241,1860467,33992,North America
166,Chad,4888,6,172,1,4661,55,0,290,10,115822,6883,16827427,Europe
167,Saint Lucia,4700,10,75,0,4473,152,1,25495,407,42151,228649,184348,Europe
168,Gibraltar,4286,0,94,0,4189,3,0,127249,2791,240870,7151297,33682,Africa
169,Burundi,4208,8,6,0,773,3429,0,345,5,279132,22894,12192376,Africa
170,Sierra Leone,4089,0,79,0,3093,917,0,504,10,153257,18884,8115616,North America
171,Channel Islands,4057,0,86,0,3956,15,0,23151,491,454413,2593119,175238,Africa
172,Barbados,3950,4,45,0,3870,35,0,13731,156,159886,555781,287678,Africa
