,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
1,USA,33629836,39337,598581,790,26667199,6364056,8611,101086,1799,462795300,1391089,332685557,North America
2,India,24046120,343288,262350,3999,20073367,3710403,8944,17278,189,309448585,222344,1391753322,Asia
3,Brazil,15436827,75141,430596,2340,13979329,1026902,8318,72179,2013,46970130,219621,213868974,South America
4,France,5841129,19461,107250,131,4999210,734669,4442,89315,1640,80214807,1226547,65398877,Europe
5,Turkey,5083996,11534,44059,238,4856763,183174,2765,59724,518,50259943,590427,85124706,Europe
6,Russia,4913439,8380,114723,392,4527878,270838,2300,33656,786,132400000,906919,145988804,Asia
7,UK,4444631,2657,127651,11,4270780,46200,136,65175,1872,169007195,2478284,68195259,Europe
8,Italy,4139155,8080,123745,201,3669407,346003,1893,68547,2049,62107222,1028528,60384578,Europe
9,Spain,3598452,5701,79281,73,3297340,221831,1931,76938,1695,47213067,1009462,46770505,Europe
10,Germany,3575644,17496,86276,267,3240300,249068,5049,42559,1027,58093759,691457,84016407,Europe
11,Argentina,3242103,26531,69254,447,2891435,281414,5420,71169,1520,12142248,266540,45554984,South America
12,Colombia,3067879,19160,79760,499,2874656,113463,6582,59742,1553,15711926,305963,51352407,Europe
13,Poland,2845726,3694,71022,343,2584751,189953,1772,75263,1878,15017415,397175,37810599,South America
14,Iran,2722007,14246,76231,297,2179890,465886,5481,32053,898,17616446,207440,84922994,Asia
15,Mexico,2371483,3090,219590,267,1893236,258657,4798,18227,1688,6791913,52203,130105532,North America
16,Ukraine,2135886,6813,47333,346,1816643,271910,177,49095,1088,9721036,223445,43505197,Europe
17,Peru,1873316,7677,65316,418,1720665,87335,2681,56139,1957,11901521,356664,33369044,South America
18,Indonesia,1731652,3448,47716,99,1589079,94857,0,6273,173,15410887,55831,276027635,Asia
19,Czechia,1649964,1266,29858,30,1592012,28094,337,153825,2784,20767772,1936167,10726227,Europe
20,South Africa,1605252,3221,55012,44,1520878,29362,546,26774,918,11010999,183652,59955627,Africa
21,Netherlands,1583767,6013,17413,14,1346626,219728,716,92252,1014,13171698,767234,17167780,Europe
22,Canada,1312414,6644,24825,59,1212114,75475,1327,34511,653,33130218,871187,38028810,North America
