,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
1,USA,33586272,35827,597778,843,26620229,6368265,8707,100957,1797,461476543,1387147,332680263,North America
2,India,23702832,362406,258351,4126,19728436,3716045,8944,17031,186,307583991,221011,1391716282,Asia
3,Brazil,15361686,76638,428256,2545,13924217,1009213,8318,71829,2002,46970130,219625,213864852,South America
4,France,5821668,21498,107119,184,4960281,754268,4583,89018,1638,79684856,1218451,65398484,Europe
5,Turkey,5072462,13029,43821,232,4801291,227350,2827,59590,515,50058648,588080,85122228,Europe
6,Russia,4905059,8217,114331,355,4518529,272199,2300,33599,783,132100000,904865,145988633,Asia
7,UK,4441974,2283,127640,11,4256103,58231,138,65137,1872,167749070,2459870,68194286,Europe
8,Italy,4131075,7849,123544,262,3655112,352419,1992,68412,2046,61820196,1023770,60384820,Europe
9,Spain,3592751,6418,79208,108,3291156,222387,1991,76817,1694,47213067,1009463,46770455,Europe
10,Germany,3558148,13833,86009,252,3220300,251839,5049,42351,1024,56836969,676504,84015677,Europe
11,Argentina,3215572,24475,68807,496,2869341,277424,5394,70588,1510,12066534,264885,45553852,South America
12,Colombia,3048719,16993,79261,490,2859627,109831,6582,59370,1544,15639108,304554,51350926,Europe
13,Poland,2842032,3948,70679,343,2582519,188834,1859,75165,1869,14960240,395661,37810712,South America
14,Iran,2707761,16409,75934,366,2162087,469740,5501,31886,894,17480333,205845,84920057,Asia
15,Mexico,2368393,1897,219323,234,1891052,258018,4798,18204,1686,6774089,52068,130101834,North America
16,Ukraine,2129073,4538,46987,356,1797136,284950,177,48938,1080,9721036,223442,43505911,Europe
17,Peru,1865639,7400,64898,207,1720665,80076,2670,55911,1945,11832582,354611,33367789,South America
18,Indonesia,1728204,4608,47617,152,1584878,95709,0,6261,173,15410887,55833,276019737,Asia
19,Czechia,1648686,1688,29812,29,1587374,31500,345,153707,2779,20529829,1913994,10726173,Europe
20,South Africa,1602031,2759,54968,72,1519734,27329,546,26721,917,10968926,182957,59953584,Africa
21,Netherlands,1577754,6356,17399,16,1339957,220398,726,91903,1013,13171698,767238,17167676,Europe
22,Canada,1305770,6198,24766,52,1204328,76676,1327,34337,651,33001128,867813,38027907,North America
23,Chile,1260448,3902,27384,28,1199432,33632,3036,65451,1422,13689304,710841,19257906,South America
24,Iraq,1127580,4666,15855,21,1023584,88141,488,27503,387,9781666,238588,40998203,Europe
25,Philippines,1118339,4822,18714,94,1046354,53271,750,10090,169,12416105,112020,110838623,Asia
26,Romania,1068817,930,29233,98,1018642,20942,874,55882,1528,8558927,447493,19126382,Asia
27,Sweden,1027934,0,14267,36,862235,151432,373,101238,1405,8798383,866521,10153687,Europe
28,Belgium,1020332,2456,24609,26,897904,97819,710,87708,2115,13061760,1122797,11633238,Europe
29,Pakistan,867438,2881,19210,104,771692,76536,4707,3862,86,12310875,54817,224582574,Asia
30,Portugal,840493,485,16998,4,801621,21874,71,82637,1671,11011029,1082596,10170947,Europe
31,Israel,839030,30,6379,1,831826,825,71,91223,694,14434897,1569422,9197590,Asia
32,Hungary,793784,905,28888,96,592440,172456,361,82350,2997,5560617,576881,9639099,Europe
33,Bangladesh,777397,1140,12045,40,718249,47103,1120,4680,73,5677222,34178,166105663,Asia
34,Jordan,722336,483,9180,29,708854,4302,729,70194,892,6893261,669862,10290568,Asia
35,Serbia,703497,1046,6611,17,669310,27576,104,80798,759,3964964,455384,8706867,Europe
36,Switzerland,677210,1539,10725,4,612471,54014,190,77757,1231,7216520,828599,8709301,Europe
37,Japan,651571,6111,11064,123,568558,71949,1189,5165,88,12700938,100688,126140961,Europe
38,Austria,633960,1194,10428,15,609666,13866,344,70045,1152,35383018,3909373,9050816,Asia
39,UAE,540646,1508,1619,2,520882,18145,0,54100,162,46401225,4643151,9993478,Asia
40,Lebanon,534388,703,7549,22,490305,36534,352,78599,1110,4151385,610592,6798949,Africa
41,Morocco,514432,268,9088,5,501692,3652,108,13796,244,6348840,170265,37287963,Asia
42,Malaysia,453222,4765,1761,39,411360,40101,469,13850,54,10257115,313447,32723609,Asia
43,Saudi Arabia,429389,1020,7111,13,413010,9268,1352,12171,202,17740919,502847,35280979,Europe
44,Nepal,422349,9238,4252,168,316463,101634,0,14274,144,2693088,91020,29587919,Asia
45,Bulgaria,412814,657,17150,46,357149,38515,526,59802,2484,2631255,381172,6903067,Europe
46,Ecuador,404632,2037,19349,63,342878,42405,607,22638,1083,1350957,75583,17873899,South America
47,Slovakia,386540,404,12096,19,369103,5341,242,70770,2215,2740888,501817,5461931,North America
48,Belarus,371405,896,2661,9,362112,6632,0,39316,282,6028936,638210,9446632,Europe
49,Greece,369554,2478,11211,70,333892,24451,707,35606,1080,8645362,832974,10378916,Europe
50,Panama,368930,562,6285,3,358044,4601,105,84360,1437,2487010,568683,4373282,Europe
51,Kazakhstan,348308,1811,3964,16,304673,39671,221,18361,209,10535853,555382,18970446,Asia
52,Croatia,347094,1471,7589,40,331388,8117,215,85003,1859,1898906,465041,4083312,Asia
