,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
1,USA,33670274,39096,599364,752,26996645,6074265,8093,101206,1802,464099542,1394987,332690850,North America
2,India,24372243,326123,266229,3879,20426323,3679691,8944,17511,191,311324100,223686,1391790362,Asia
3,Brazil,15521313,84486,432785,2189,14028355,1060173,8318,72573,2024,46970130,219617,213873096,South America
4,France,5848154,7025,107423,173,5042584,698147,4352,89422,1643,80698552,1233937,65399271,Europe
5,Turkey,5095390,11394,44301,242,4894024,157065,2670,59856,520,50463016,592796,85127184,Europe
6,Russia,4922901,9462,115116,393,4537634,270151,2300,33721,789,132700000,908973,145988974,Asia
7,UK,4446824,2193,127668,17,4273441,45715,129,65206,1872,169007195,2478248,68196231,Europe
8,Italy,4146715,7560,123927,182,3683189,339599,1860,68672,2052,62405408,1033470,60384337,Europe
9,Spain,3604799,6347,79339,58,3297340,228120,1899,77074,1696,47213067,1009461,46770554,Europe
10,Germany,3585891,10247,86481,205,3259000,240410,4376,42680,1029,58093759,691451,84017137,Europe
11,Argentina,3269466,27363,69853,599,2913144,286469,5457,71768,1533,12224943,268349,45556116,South America
12,Colombia,3084460,16581,80250,490,2888990,115220,6582,60063,1563,15783446,307347,51353888,Europe
13,Poland,2849015,3289,71311,289,2589277,188427,1690,75350,1886,15078062,398780,37810486,South America
14,Iran,2732152,10145,76433,202,2196197,459522,5468,32171,900,17750149,209007,84925931,Asia
15,Mexico,2375115,3632,219901,311,1895483,259731,4798,18255,1690,6811363,52351,130109231,North America
16,Ukraine,2143448,7562,47620,287,1832601,263227,177,49270,1095,9790291,225041,43504483,Europe
17,Peru,1879049,5733,65608,292,1720665,92776,2685,56309,1966,11972376,358773,33370299,South America
18,Indonesia,1734285,2633,47823,107,1592886,93576,0,6283,173,15410887,55829,276035532,Asia
19,Czechia,1651188,1224,29879,21,1592136,29173,319,153939,2786,21004062,1958187,10726281,Europe
20,South Africa,1608393,3141,55124,112,1522165,31104,546,26825,919,11052993,184347,59957669,Africa
21,Netherlands,1589282,5515,17423,10,1351998,219861,722,92573,1015,13171698,767229,17167883,Europe
22,Canada,1318405,5991,24869,44,1220110,73426,1327,34668,654,33260624,874596,38029713,North America
23,Chile,1273516,6915,27647,127,1208396,37473,2976,66126,1436,13816198,717397,19258802,South America
24,Iraq,1134859,2767,15910,27,1034396,84553,457,27677,388,9840649,239997,41003148,Europe
25,Philippines,1131448,6765,18958,137,1053475,59015,1819,10207,171,12529921,113038,110846594,Asia
26,Romania,1070605,835,29413,105,1022029,19163,809,55977,1538,8626765,451057,19125685,Asia
27,Sweden,1037126,0,14275,36,878189,144662,341,102139,1406,8798383,866492,10154031,Europe
28,Belgium,1026473,2890,24645,15,905973,95855,657,88234,2118,13182705,1133166,11633513,Europe
29,Pakistan,873220,2517,19384,48,780438,73398,4330,3888,86,12380676,55122,224606051,Asia
30,Portugal,841379,450,16999,0,802285,22095,72,82725,1671,11091313,1090507,10170786,Europe
31,Israel,839079,20,6380,1,831950,749,73,91228,694,14487253,1575114,9197590,Asia
32,Hungary,796390,1190,29041,71,608891,158458,338,82622,3013,5607336,581736,9638965,Europe
33,Bangladesh,779535,848,12102,26,720471,46962,1149,4693,73,5698528,34305,166114622,Asia
34,Jordan,723069,315,9224,21,710445,3400,729,70261,896,6912958,671740,10291121,Asia
35,Serbia,705185,787,6646,17,673038,25501,101,80994,763,3989567,458219,8706675,Europe
36,Switzerland,679510,2300,10730,2,617283,51497,179,78018,1232,7273942,835159,8709646,Europe
37,Japan,665569,6896,11255,90,579446,74868,1209,5276,89,12913954,102379,126138855,Europe
38,Austria,635780,887,10455,11,612523,12802,322,70243,1155,35939913,3970780,9051096,Asia
39,UAE,543610,1452,1626,3,523778,18206,0,54393,163,46799807,4682729,9994131,Asia
40,Lebanon,535181,213,7586,17,494734,32861,333,78717,1116,4163257,612353,6798783,Africa
41,Morocco,514705,35,9092,1,502604,3009,94,13803,244,6370615,170838,37290353,Asia
42,Malaysia,462190,4113,1822,34,418897,41471,482,14123,56,10397529,317716,32725875,Asia
43,Nepal,439658,8467,4669,203,327653,107336,0,14858,158,2733510,92377,29590786,Europe
44,Saudi Arabia,431432,927,7134,12,415747,8551,1323,12227,202,17868871,506431,35283944,Asia
45,Bulgaria,413838,518,17243,49,361993,34602,504,59952,2498,2656622,384862,6902783,Europe
46,Ecuador,407002,1219,19514,72,342878,44610,572,22769,1092,1359491,76054,17875364,South America
