,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
1,USA,33722409,21736,600164,290,27137276,5984969,7958,101359,1804,466077114,1400887,332701437,North America
2,India,24964925,281860,274411,4092,21167609,3522905,8944,17936,197,314850143,226207,1391864443,Asia
3,Brazil,15627475,36862,435823,971,14097287,1094365,8318,73066,2038,47073060,220090,213881340,South America
4,France,5877787,13948,107616,81,5116786,653385,4255,89874,1646,81239297,1242190,65400058,Europe
5,Turkey,5117374,10512,44760,223,4947256,125358,2468,60111,526,50869896,597540,85132141,Europe
6,Russia,4940245,8554,115871,391,4556073,268301,2300,33840,794,133500000,914450,145989315,Asia
7,UK,4450777,1926,127679,4,4277207,45891,129,65262,1872,169007195,2478178,68198176,Europe
8,Italy,4159121,5752,124156,93,3706084,328881,1779,68878,2056,62902667,1041713,60383853,Europe
9,Spain,3612239,4429,79401,31,3327061,205777,1899,77233,1698,47213067,1009459,46770653,Europe
10,Germany,3602939,7067,86731,62,3286400,229808,4376,42883,1032,58093759,691439,84018598,Europe
11,Argentina,3307285,16350,70522,269,2952599,284164,5538,72594,1548,12399366,272164,45558380,South America
12,Colombia,3118426,15093,81300,520,2917584,119542,6582,60721,1583,15925025,310086,51356849,Europe
13,Poland,2854081,2169,71664,55,2600974,181443,1589,75484,1895,15184082,401586,37810261,South America
14,Iran,2751166,11291,76936,303,2226122,448108,5337,32393,906,18018878,212157,84931806,Asia
15,Mexico,2380690,2695,220380,221,1899742,260568,4798,18297,1694,6846110,52615,130116629,North America
16,Ukraine,2153864,3620,48075,133,1857724,248065,177,49511,1105,9841788,226232,43503055,Europe
17,Peru,1889052,4456,66220,309,1720665,102167,2680,56605,1984,12091820,362325,33372810,South America
18,Indonesia,1739750,3080,48093,126,1600857,90800,0,6302,174,15528037,56251,276051328,Asia
19,Czechia,1652842,598,29907,13,1596907,26028,270,154091,2788,21298436,1985611,10726389,Europe
20,South Africa,1613728,2585,55210,27,1524352,34166,546,26913,921,11115048,185369,59961755,Africa
21,Netherlands,1598164,4436,17449,13,1369607,211108,681,93089,1016,13524699,787781,17168090,Europe
22,Canada,1328582,4901,24948,40,1233287,70347,1344,34934,656,33482165,880379,38031520,North America
23,Chile,1286548,6296,27832,98,1220351,38365,2954,66800,1445,13947396,724175,19259697,South America
24,Philippines,1143946,5773,19190,139,1069826,54930,1819,10319,173,12618348,113828,110854565,Europe
25,Iraq,1139373,2456,15954,24,1045240,78179,456,27784,389,9872873,240754,41008092,Asia
26,Romania,1071899,565,29523,38,1025145,17231,777,56047,1544,8678223,453764,19124987,Asia
27,Sweden,1037126,0,14275,0,892260,130591,306,102136,1406,9481745,933760,10154374,Europe
28,Belgium,1030071,1967,24686,22,910652,94733,622,88541,2122,13252380,1139129,11633788,Europe
29,Pakistan,877130,2379,19543,76,788768,68819,4376,3905,87,12444042,55398,224629527,Asia
30,Portugal,842182,334,17007,1,802900,22275,71,82805,1672,11165909,1097859,10170624,Europe
31,Israel,839119,2,6382,1,832072,665,71,91232,694,14487253,1575114,9197590,Asia
32,Hungary,798147,718,29175,61,625088,143884,261,82805,3027,5638662,584994,9638832,Europe
33,Bangladesh,780159,363,12149,25,722036,45974,1149,4696,73,5707716,34358,166123581,Asia
34,Jordan,724154,809,9259,16,710445,4450,729,70363,900,6940992,674428,10291674,Asia
35,Serbia,706458,568,6681,17,677135,22642,99,81142,767,4009511,460520,8706484,Europe
36,Switzerland,679510,0,10731,1,620295,48484,187,78015,1232,7273942,835126,8709992,Europe
37,Japan,677912,6349,11463,98,590044,76405,1223,5374,91,13084423,103732,126136748,Europe
38,Austria,637097,673,10474,4,616148,10475,293,70387,1157,36393075,4020723,9051376,Asia
39,UAE,546182,1251,1631,2,526302,18249,0,54647,163,46919907,4694439,9994784,Asia
40,Lebanon,535753,307,7620,18,497198,30935,333,78803,1121,4183866,615400,6798617,Africa
41,Morocco,514944,127,9098,0,503181,2665,96,13808,244,6380889,171103,37292743,Asia
42,Malaysia,470110,3780,1902,36,426319,41889,520,14364,58,10503288,320925,32728141,Asia
43,Nepal,455020,7316,5001,145,339756,110263,0,15376,169,2771020,93636,29593654,Europe
44,Saudi Arabia,433094,825,7162,15,417787,8145,1376,12274,203,17970506,509268,35286908,Asia
45,Bulgaria,414192,151,17259,9,362475,34458,499,60006,2500,2668212,386557,6902499,Europe
46,Ecuador,410129,609,19699,7,354499,35931,587,22942,1102,1368816,76569,17876829,South America
47,Slovakia,387523,103,12224,21,370895,4404,193,70949,2238,2762414,505755,5461960,North America
48,Greece,377090,1259,11415,50,338571,27104,656,36334,1100,8856180,853331,10378362,Europe
49,Belarus,376341,1627,2701,10,367097,6543,0,39839,286,6090900,644772,9446598,Europe
50,Panama,370877,344,6296,0,359214,5367,105,84791,1439,2524764,577218,4374024,Europe
51,Kazakhstan,358104,2459,4054,15,316003,38047,221,18874,214,10749824,566588,18972900,Asia
52,Croatia,350390,480,7708,21,336450,6232,181,85816,1888,1927262,472017,4083037,Asia
53,Bolivia,331516,1783,13493,42,270466,47557,200,28066,1142,1305414,110516,11812036,Asia
54,Georgia,330375,968,4442,16,308821,17112,0,82958,1115,4579651,1149958,3982451,South America
55,Azerbaijan,329843,472,4779,11,314900,10164,0,32277,468,3384053,331150,10219085,Asia
56,Tunisia,326572,740,11849,70,287644,27079,445,27382,993,1387361,116324,11926699,Africa
57,Paraguay,313527,1781,7596,62,260339,45592,582,43491,1054,1194232,165657,7209064,Asia
58,Palestine,303827,169,3428,5,292523,7876,78,58377,659,1790483,344019,5204602,North America
59,Kuwait,291629,828,1693,6,277820,12116,186,67418,391,2460103,568719,4325689,Asia
60,Costa Rica,287304,1768,3593,22,223737,59974,489,55952,700,1093074,212876,5134790,South America
61,Dominican Republic,277188,916,3582,13,233830,39776,289,25330,327,1478358,135096,10942996,Europe
62,Denmark,266503,964,2502,0,250951,13050,32,45869,431,46740649,8044771,5810066,Africa
63,Ethiopia,266264,432,3996,20,219566,42702,582,2267,34,2652558,22586,117440068,Europe
64,Lithuania,265559,763,4105,16,239915,21539,185,98762,1527,3105619,1154990,2688871,Europe
65,Ireland,255672,355,4941,0,237878,12853,39,51278,991,4729538,948567,4985980,Europe
66,Moldova,253845,109,6027,11,244857,2961,149,63056,1497,1048032,260333,4025739,Europe
67,Slovenia,249311,293,4324,4,237424,7563,120,119908,2080,1230743,591934,2079189,North America
68,Egypt,245721,1201,14327,58,181478,49916,90,2362,138,2715258,26104,104016476,Africa
69,Guatemala,241369,252,7887,15,221298,12184,5,13259,433,1345112,73889,18204421,North America
70,Uruguay,240512,2433,3459,40,209338,27715,499,69028,993,2005217,575505,3484274,Asia
71,Honduras,225964,708,5954,17,82561,137449,536,22502,593,676623,67379,10042033,North America
72,Armenia,220860,131,4323,9,208454,8083,0,74411,1456,1036673,349272,2968096,Asia
73,Venezuela,215301,1070,2396,14,199202,13703,316,7590,84,3359014,118420,28365252,Europe
74,Qatar,213183,256,530,4,207077,5576,205,75925,189,1970800,701901,2807805,South America
75,Oman,205511,588,2193,9,190342,12976,255,39373,420,1550000,296961,5219545,Asia
76,Bosnia and Herzegovina,202419,106,9026,31,168549,24844,0,62037,2766,937964,287463,3262899,Africa
77,Bahrain,200977,1884,746,9,183859,16372,160,114659,426,4353926,2483948,1752825,South America
78,Libya,181410,231,3088,3,168128,10194,0,26091,444,983395,141437,6952869,Asia
79,Nigeria,165709,7,2066,0,156413,7230,11,787,10,1977479,9391,210582794,Africa
80,Kenya,165465,86,3003,2,113612,48850,117,3019,55,1744393,31831,54802355,Africa
81,North Macedonia,154698,62,5211,14,145851,3636,111,74256,2501,756480,363116,2083299,Europe
82,Myanmar,143065,6,3212,0,132115,7738,0,2614,59,2601770,47539,54728958,Asia
83,Sri Lanka,142746,2275,962,21,118322,23462,0,6642,45,3075321,143092,21491868,Europe
84,Albania,132015,37,2432,3,124312,5271,18,45918,846,674402,234571,2875041,Africa
85,S. Korea,131671,610,1900,4,121764,8007,150,2566,37,9336614,181972,51307858,Europe
86,Latvia,127978,381,2266,9,117231,8481,78,68516,1213,2490506,1333344,1867864,Asia
87,Estonia,127053,131,1222,2,118678,7153,36,95722,921,1359778,1024456,1327317,Europe
88,Algeria,125311,117,3374,8,87359,34578,28,2813,76,230861,5183,44541312,Europe
89,Cuba,124454,1233,804,8,116660,6990,126,10994,71,3993104,352730,11320554,Asia
90,Norway,119299,247,774,0,88952,29573,22,21856,142,5423294,993583,5458320,North America
91,Thailand,101447,2302,589,24,65803,35055,1228,1450,8,8124896,116147,69953419,Europe
92,Kyrgyzstan,100473,224,1703,8,93602,5168,85,15182,257,1056526,159642,6618078,Asia
93,Montenegro,98852,74,1561,1,95902,1389,60,157374,2485,395033,628897,628136,Africa
94,Uzbekistan,96670,302,668,1,92111,3891,23,2852,20,1377915,40655,33892564,Africa
95,Ghana,93243,0,783,0,91146,1314,7,2947,25,1118523,35354,31637796,Asia
