,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
1,USA,33698117,25804,599858,499,27098620,5999639,8016,101288,1803,465224944,1398348,332696143,North America
2,India,24683065,310822,270319,4090,20789038,3623708,8944,17734,194,313017193,224897,1391827403,Asia
3,Brazil,15590613,69300,434852,2067,14062396,1093365,8318,72895,2033,46970130,219613,213877218,South America
4,France,5863839,15685,107535,112,5080456,675848,4271,89662,1644,81156099,1240925,65399664,Europe
5,Turkey,5106862,11472,44537,236,4932838,129487,2563,59989,523,50667653,595182,85129663,Europe
6,Russia,4931691,8790,115480,364,4547500,268711,2300,33781,791,133100000,911712,145989144,Asia
7,UK,4448851,2027,127675,7,4275502,45674,129,65235,1872,169007195,2478213,68197203,Europe
8,Italy,4153369,6654,124063,136,3696481,332825,1805,68782,2055,62700094,1038354,60384095,Europe
9,Spain,3604799,0,79339,0,3297340,228120,1899,77074,1696,47213067,1009460,46770603,Europe
10,Germany,3595872,9981,86669,188,3275500,233703,4376,42799,1032,58093759,691445,84017867,Europe
11,Argentina,3290935,21469,70253,400,2933946,286736,5517,72237,1542,12331859,270689,45557248,South America
12,Colombia,3103333,18873,80780,530,2902646,119907,6582,60429,1573,15863467,308896,51355369,Europe
13,Poland,2851912,2897,71609,298,2595635,184668,1627,75427,1894,15135124,400290,37810373,South America
14,Iran,2739875,7723,76633,200,2210851,452391,5396,32261,902,17882461,210558,84928868,Asia
15,Mexico,2377995,2880,220159,258,1897587,260249,4798,18276,1692,6829477,52489,130112930,North America
16,Ukraine,2150244,6796,47942,322,1849803,252499,177,49427,1102,9824399,225829,43503769,Europe
17,Peru,1884596,5547,65911,303,1720665,98020,2676,56473,1975,12034432,360619,33371555,South America
18,Indonesia,1736670,2385,47967,144,1597067,91636,0,6291,174,15481111,56082,276043430,Asia
19,Czechia,1652244,1054,29893,13,1592236,30115,293,154036,2787,21214900,1977833,10726335,Europe
20,South Africa,1611143,2750,55183,59,1523243,32717,546,26870,920,11087505,184916,59959712,Africa
21,Netherlands,1593728,4446,17436,13,1360722,215570,704,92831,1016,13171698,767224,17167986,Europe
