,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
1,USA,33695916,25642,599863,499,27098620,5997433,8016,101283,1803,465224944,1398370,332690850,North America
2,India,24683065,310822,270319,4090,20789038,3623708,8944,17735,194,313017193,224903,1391790362,Asia
3,Brazil,15590613,69300,434852,2067,14062396,1093365,8318,72897,2033,46970130,219617,213873096,South America
4,France,5863839,15685,107535,112,5080456,675848,4271,89662,1644,81156099,1240933,65399271,Europe
5,Turkey,5106862,11472,44537,236,4932838,129487,2563,59991,523,50667653,595199,85127184,Europe
6,Russia,4931691,8790,115480,364,4547500,268711,2300,33781,791,133100000,911713,145988974,Asia
7,UK,4448851,2027,127675,7,4275502,45674,129,65236,1872,169007195,2478248,68196231,Europe
8,Italy,4153374,6659,124063,136,3696481,332830,1805,68782,2055,62700094,1038350,60384337,Europe
9,Spain,3604799,0,79339,0,3297340,228120,1899,77074,1696,47213067,1009461,46770554,Europe
10,Germany,3595872,9981,86669,188,3275500,233703,4376,42799,1032,58093759,691451,84017137,Europe
11,Argentina,3290935,21469,70253,400,2933946,286736,5517,72239,1542,12331859,270696,45556116,South America
12,Colombia,3103333,18873,80780,530,2902646,119907,6582,60430,1573,15863467,308905,51353888,Europe
13,Poland,2851911,2896,71609,298,2595635,184667,1627,75426,1894,15135124,400289,37810486,South America
14,Iran,2739875,7723,76633,200,2210851,452391,5396,32262,902,17882461,210565,84925931,Asia
15,Mexico,2377995,2880,220159,258,1897587,260249,4798,18277,1692,6829477,52490,130109231,North America
16,Ukraine,2150244,6796,47942,322,1849803,252499,177,49426,1102,9824399,225825,43504483,Europe
17,Peru,1879049,0,65608,0,1720665,92776,2685,56309,1966,11972376,358773,33370299,South America
18,Indonesia,1736670,2385,47967,144,1597067,91636,0,6291,174,15481111,56084,276035532,Asia
19,Czechia,1652238,1050,29886,7,1592219,30133,293,154036,2786,21214900,1977843,10726281,Europe
20,South Africa,1611143,2750,55183,59,1523243,32717,546,26871,920,11087505,184922,59957669,Africa
21,Netherlands,1593728,4446,17436,13,1360722,215570,704,92832,1016,13171698,767229,17167883,Europe
22,Canada,1323681,5276,24908,39,1226870,71903,1344,34806,655,33383698,877832,38029713,North America
23,Chile,1280252,6736,27734,87,1214817,37701,2953,66476,1440,13881510,720788,19258802,South America
24,Philippines,1138187,6739,19051,93,1062427,56709,1819,10268,172,12570563,113405,110846594,Europe
25,Iraq,1136917,2058,15930,20,1039616,81371,465,27728,389,9855685,240364,41003148,Asia
26,Romania,1071334,729,29485,72,1023822,18027,784,56015,1542,8659474,452767,19125685,Asia
27,Sweden,1037126,0,14275,0,878153,144698,341,102139,1406,8798383,866492,10154031,Europe
28,Belgium,1028104,1631,24664,19,905973,97467,644,88374,2120,13210753,1135577,11633513,Europe
29,Pakistan,874751,1531,19467,83,783480,71804,4387,3895,87,12410924,55256,224606051,Asia
30,Portugal,841848,469,17006,7,802671,22171,71,82771,1672,11133009,1094607,10170786,Europe
31,Israel,839117,38,6381,1,831981,755,66,91232,694,14487253,1575114,9197590,Asia
