,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
1,USA,33747439,25030,600533,369,27202309,5944597,7790,101435,1805,467222796,1404331,332701437,North America
2,India,25227970,263045,278751,4340,21590003,3359216,8944,18125,200,316423658,227338,1391864443,Asia
3,Brazil,15661106,33631,436862,1039,14152433,1071811,8318,73223,2043,47073060,220090,213881340,South America
4,France,5881137,3350,107812,196,5152566,620759,4186,89926,1649,81694063,1249144,65400058,Europe
5,Turkey,5127548,10174,44983,223,4961120,121445,2326,60230,528,51076732,599970,85132141,Europe
6,Russia,4949573,9328,116211,340,4563254,270108,2300,33904,796,133800000,916505,145989315,Asia
7,UK,4452756,1979,127684,5,4279267,45805,124,65291,1872,170156171,2495025,68198176,Europe
8,Italy,4162576,3455,124296,140,3715389,322891,1754,68935,2058,63021591,1043683,60383853,Europe
9,Spain,3615860,3621,79432,31,3333587,202841,1836,77310,1698,48928535,1046138,46770653,Europe
10,Germany,3608292,5353,86870,139,3300700,220722,4123,42946,1034,58093759,691439,84018598,Europe
11,Argentina,3335965,28680,71027,505,2973267,291671,5690,73224,1559,12490822,274172,45558380,South America
12,Colombia,3131410,12984,81809,509,2931280,118321,6582,60974,1593,15957624,310720,51356849,Europe
13,Poland,2855190,1109,71675,11,2605703,177812,1572,75514,1896,15184082,401586,37810261,South America
14,Iran,2765485,14319,77222,286,2242023,446240,5264,32561,909,18151487,213718,84931806,Asia
15,Mexico,2381923,1233,220433,53,1901322,260168,4798,18306,1694,6852082,52661,130116629,North America
16,Ukraine,2156000,2136,48184,109,1864593,243223,177,49560,1108,9841788,226232,43503055,Europe
17,Peru,1893334,4282,66471,251,1720665,106198,2665,56733,1992,12118928,363138,33372810,South America
18,Indonesia,1744045,4295,48305,212,1606611,89129,0,6318,175,15573690,56416,276051328,Asia
19,Czechia,1653099,257,29913,6,1596931,26255,250,154115,2789,21389353,1994087,10726389,Europe
20,South Africa,1615485,1757,55260,50,1526638,33587,546,26942,922,11134553,185694,59961755,Africa
21,Netherlands,1600993,2829,17456,7,1377879,205658,673,93254,1017,13524699,787781,17168090,Europe
22,Canada,1334108,5526,24983,35,1241500,67625,1344,35079,657,33592273,883275,38031520,North America
23,Chile,1292096,5548,27934,102,1225846,38316,2969,67088,1450,14013648,727615,19259697,South America
24,Philippines,1149925,5979,19262,72,1076428,54235,1819,10373,174,12660106,114205,110854565,Europe
25,Iraq,1142925,3552,15995,41,1050687,76243,481,27871,390,9897459,241354,41008092,Asia
26,Romania,1072291,392,29571,48,1026299,16421,753,56068,1546,8689588,454358,19124987,Asia
27,Sweden,1037126,0,14275,0,892260,130591,306,102136,1406,9481745,933760,10154374,Europe
28,Belgium,1031923,1852,24709,23,910652,96562,616,88701,2124,13287222,1142123,11633788,Europe
29,Pakistan,880362,3232,19617,74,792522,68223,4443,3919,87,12480767,55562,224629527,Asia
30,Portugal,842381,199,17009,2,803191,22181,72,82825,1672,11191669,1100392,10170624,Europe
31,Israel,839159,40,6389,7,832093,677,63,91237,695,14487253,1575114,9197590,Asia
32,Hungary,798573,426,29213,38,630976,138384,258,82850,3031,5649027,586070,9638832,Europe
33,Bangladesh,780857,698,12181,32,723094,45582,1139,4700,73,5718063,34421,166123581,Asia
34,Jordan,725258,1104,9276,17,710445,5537,729,70470,901,6972177,677458,10291674,Asia
35,Serbia,707033,575,6696,15,679256,21081,93,81208,769,4018840,461592,8706484,Europe
36,Japan,683175,5263,11508,45,595177,76490,1227,5416,91,13122469,104034,126136748,Europe
37,Switzerland,682160,2650,10744,13,621695,49721,183,78319,1234,7338506,842539,8709992,Europe
38,Austria,637573,476,10480,6,617307,9786,293,70439,1158,36531447,4036010,9051376,Asia
39,UAE,547411,1229,1633,2,527519,18259,0,54770,163,47061854,4708641,9994784,Asia
40,Lebanon,535954,201,7631,11,500872,27451,323,78833,1122,4206316,618702,6798617,Africa
41,Morocco,515023,79,9104,6,503483,2436,95,13810,244,6384989,171213,37292743,Asia
42,Malaysia,474556,4446,1947,45,429103,43506,522,14500,59,10573102,323058,32728141,Asia
43,Nepal,464218,9198,5215,214,345523,113480,0,15686,176,2792673,94367,29593654,Europe
44,Saudi Arabia,433980,886,7174,12,418914,7892,1377,12299,203,18032171,511016,35286908,Asia
45,Bulgaria,414869,677,17343,84,364682,32844,490,60104,2513,2684714,388948,6902499,Europe
46,Ecuador,410870,741,19786,87,354499,36585,600,22983,1107,1370618,76670,17876829,South America
47,Slovakia,387659,136,12238,14,371004,4417,192,70974,2241,2765568,506333,5461960,North America
48,Greece,378485,1395,11471,56,340612,26402,647,36469,1105,8879508,855579,10378362,Europe
49,Belarus,377532,1191,2711,10,367840,6981,0,39965,287,6105215,646287,9446598,Europe
50,Panama,371145,268,6297,1,359481,5367,105,84852,1440,2528006,577959,4374024,Europe
51,Kazakhstan,360193,2089,4073,19,317741,38379,221,18985,215,10749824,566588,18972900,Asia
52,Croatia,350506,116,7738,30,337475,5293,173,85844,1895,1929591,472587,4083037,Asia
53,Bolivia,332567,1051,13517,24,271690,47360,200,28155,1144,1309771,110884,11812036,Asia
54,Georgia,330879,504,4469,27,310859,15551,0,83084,1122,4591316,1152887,3982451,South America
55,Azerbaijan,330269,426,4792,13,315415,10062,0,32319,469,3392930,332019,10219085,Asia
56,Tunisia,327473,901,11899,50,288935,26639,445,27457,998,1392064,116718,11926699,Africa
57,Paraguay,315547,2020,7692,96,262336,45519,560,43771,1067,1200299,166499,7209064,Asia
58,Palestine,304074,247,3437,9,293808,6829,66,58424,660,1793407,344581,5204602,North America
59,Kuwait,292490,861,1696,3,278824,11970,191,67617,392,2467673,570469,4325689,Asia
60,Costa Rica,288626,1322,3625,32,224354,60647,489,56210,706,1093074,212876,5134790,South America
61,Dominican Republic,277919,731,3589,7,234098,40232,294,25397,328,1483386,135556,10942996,Europe
62,Denmark,267339,836,2503,1,251665,13171,29,46013,431,47223277,8127838,5810066,Africa
63,Ethiopia,266646,382,4008,12,220642,41996,569,2270,34,2656382,22619,117440068,Europe
64,Lithuania,266063,504,4112,7,240079,21872,178,98950,1529,3111213,1157070,2688871,Europe
65,Ireland,256032,360,4941,0,238297,12794,42,51350,991,4729538,948567,4985980,Europe
66,Moldova,253954,109,6034,7,245031,2889,148,63083,1499,1050325,260902,4025739,Europe
67,Slovenia,249424,113,4327,3,237630,7467,122,119962,2081,1232247,592658,2079189,North America
68,Egypt,246909,1188,14388,61,182024,50497,90,2374,138,2715258,26104,104016476,Africa
69,Uruguay,242906,2394,3521,62,212051,27334,495,69715,1011,2016365,578704,3484274,North America
70,Guatemala,241528,159,7893,6,222049,11586,5,13268,434,1346074,73942,18204421,Asia
71,Honduras,226719,755,5960,6,82602,138157,536,22577,594,679008,67617,10042033,North America
72,Armenia,220927,67,4333,10,208899,7695,0,74434,1460,1039050,350073,2968096,Asia
73,Venezuela,216415,1114,2411,15,200381,13623,316,7630,85,3359014,118420,28365252,Europe
74,Qatar,213485,302,532,2,207796,5157,196,76033,189,1973886,703000,2807805,South America
75,Oman,206297,786,2206,13,191065,13026,238,39524,423,1550000,296961,5219545,Asia
76,Bahrain,202556,1579,752,6,185619,16185,180,115560,429,4374017,2495410,1752825,Africa
77,Bosnia and Herzegovina,202490,71,9051,25,169455,23984,0,62058,2774,945559,289791,3262899,South America
78,Libya,181714,304,3092,4,168378,10244,0,26135,445,986596,141898,6952869,Asia
79,Nigeria,165778,69,2067,1,156415,7296,11,787,10,1977479,9391,210582794,Africa
80,Kenya,165537,72,3013,10,113874,48650,108,3021,55,1746449,31868,54802355,Africa
81,North Macedonia,154725,27,5230,19,146043,3452,111,74269,2510,757794,363747,2083299,Europe
82,Sri Lanka,145202,2456,981,19,119629,24592,0,6756,46,3075321,143092,21491868,Asia
83,Myanmar,143097,32,3213,1,132123,7761,0,2615,59,2603024,47562,54728958,Europe
84,S. Korea,132290,619,1903,3,122163,8224,151,2578,37,9353300,182298,51307858,Africa
85,Albania,132032,17,2435,3,125419,4178,18,45924,847,677041,235489,2875041,Europe
86,Latvia,128125,147,2269,3,117799,8057,71,68594,1215,2494618,1335546,1867864,Asia
87,Estonia,127206,153,1223,1,118772,7211,32,95837,921,1362651,1026621,1327317,Europe
88,Cuba,125511,1057,814,10,117749,6948,126,11087,72,4015883,354743,11320554,Europe
89,Algeria,125485,174,3381,7,87476,34628,28,2817,76,230861,5183,44541312,Asia
90,Norway,119500,201,774,0,88952,29774,21,21893,142,5423294,993583,5458320,North America
91,Thailand,111082,9635,614,25,67200,43268,1228,1588,9,8124896,116147,69953419,Europe
92,Kyrgyzstan,100732,259,1711,8,93886,5135,85,15221,259,1059935,160158,6618078,Asia
93,Montenegro,98898,46,1562,1,95999,1337,60,157447,2487,395995,630429,628136,Africa
94,Uzbekistan,96893,223,670,2,92303,3920,23,2859,20,1377915,40655,33892564,Africa
95,Ghana,93333,90,783,0,91252,1298,8,2950,25,1123985,35527,31637796,Asia
96,Zambia,92460,24,1261,1,90862,337,40,4910,67,1474620,78307,18831181,Europe
97,China,90872,25,4636,0,85945,291,1,63,3,160000000,111163,1439323776,Africa
98,Finland,90249,144,933,2,46000,43316,27,16266,168,4766116,859028,5548263,North America
99,Cameroon,74946,0,1152,0,70497,3297,385,2763,42,1518411,55988,27120494,Europe
100,El Salvador,71479,0,2191,4,66903,2385,22,10972,336,956458,146812,6514856,Africa
101,Cyprus,71231,167,347,1,39061,31823,46,58624,286,5943360,4891461,1215048,Asia
102,Mozambique,70463,21,828,2,68731,904,21,2201,26,537525,16789,32016074,Asia
103,Luxembourg,69065,37,808,2,66183,2074,30,108788,1273,2761206,4349308,634861,Asia
104,Afghanistan,63819,221,2751,6,55010,6058,1124,1608,69,432676,10901,39691394,Africa
105,Singapore,61613,28,31,0,61123,459,3,10460,5,10441802,1772625,5890587,Asia
106,Namibia,51390,172,723,5,48355,2312,66,19911,280,411483,159427,2581017,Africa
107,Botswana,50800,1144,774,13,47477,2549,1,21229,323,1105082,461800,2392987,Africa
108,Mongolia,49175,533,214,7,41844,7117,103,14792,64,2833138,852240,3324342,North America
109,Jamaica,47396,77,863,3,23281,23252,23,15945,290,355604,119632,2972484,Africa
110,Ivory Coast,46661,5,298,0,46115,248,0,1732,11,608960,22599,26946335,Africa
111,Maldives,45956,1433,101,4,28849,17006,90,83732,184,798691,1455224,548844,Africa
112,Uganda,42859,80,347,0,42429,83,24,912,7,1062412,22607,46994167,Africa
113,Senegal,40872,22,1127,2,39597,148,10,2386,66,499075,29139,17127434,Africa
114,Madagascar,40204,63,771,8,37945,1488,268,1420,27,195878,6919,28309896,Africa
115,Zimbabwe,38572,12,1582,0,36349,641,12,2563,105,447791,29750,15051761,Europe
116,Sudan,34272,0,2446,0,27949,3877,0,766,55,232965,5207,44740073,Australia/Oceania
117,Malawi,34216,2,1153,0,32241,822,11,1749,59,239237,12231,19559677,Africa
118,Angola,30787,150,677,18,25995,4115,22,912,20,527590,15631,33753337,Asia
119,DRC,30609,47,776,0,26603,3230,0,333,8,155288,1689,91924513,Asia
120,Malta,30484,4,417,0,29920,147,0,68879,942,898798,2030847,442573,Africa
121,Australia,29978,3,910,0,28900,168,1,1164,35,17542376,681036,25758366,Africa
122,Cabo Verde,28281,113,251,2,25432,2598,23,50388,447,158645,282657,561264,Africa
123,Rwanda,26215,74,345,1,24764,1106,2,1981,26,1376065,104000,13231435,Africa
124,Gabon,23909,110,145,2,20556,3208,16,10526,64,772653,340162,2271426,Asia
125,Syria,23788,50,1705,7,21073,1010,0,1331,95,103566,5795,17870439,Africa
126,Guinea,22830,84,152,1,20421,2257,24,1698,11,445243,33122,13442322,Africa
127,Réunion,22644,0,169,0,21603,872,36,25135,188,102720,114019,900902,Africa
128,Cambodia,22544,360,154,4,13006,9384,0,1332,9,1079873,63819,16920960,Australia/Oceania
129,French Guiana,21845,380,109,1,9995,11741,25,71526,357,238822,781967,305412,Africa
130,Mayotte,20176,0,171,0,2964,17041,6,72435,614,176919,635163,278541,South America
131,Mauritania,18858,30,457,0,18133,268,14,3965,96,250574,52687,4755887,Africa
132,French Polynesia,18816,1,141,0,18656,19,1,66646,499,26355,93349,282329,Africa
133,Eswatini,18523,3,672,0,17803,48,3,15823,574,201525,172146,1170663,Africa
134,Trinidad and Tobago,16549,294,294,9,10370,5885,15,11792,209,153997,109727,1403457,Africa
135,Guadeloupe,16017,0,221,0,2242,13554,33,40024,552,195404,488285,400184,North America
136,Guyana,15352,81,344,3,13085,1923,15,19436,436,137730,174369,789875,Europe
137,Somalia,14486,0,753,0,6325,7408,0,890,46,120132,7380,16278398,North America
138,Mali,14194,4,511,0,9290,4393,0,684,25,284837,13722,20757350,Africa
139,Papua New Guinea,13707,0,136,0,11034,2537,0,1507,15,110286,12126,9094720,North America
140,Andorra,13555,45,127,0,13211,217,12,175190,1641,193595,2502100,77373,South America
141,Haiti,13460,107,271,0,12435,754,0,1168,24,60085,5214,11523943,North America
142,Burkina Faso,13397,0,164,0,13199,34,0,626,8,184102,8602,21401270,Asia
143,Tajikistan,13308,0,90,0,13218,0,0,1369,9,0,0,9724098,Africa
144,Togo,13279,4,125,0,11901,1253,0,1572,15,323813,38332,8447543,North America
145,Belize,12742,28,323,0,12342,77,1,31546,800,126061,312094,403920,Africa
146,Curaçao,12256,2,120,0,12069,67,18,74423,729,104049,631822,164681,Africa
147,Suriname,12107,157,230,2,10325,1552,29,20478,389,56137,94950,591228,North America
148,Hong Kong,11826,1,210,0,11531,85,2,1566,28,14841321,1965692,7550178,Australia/Oceania
149,Martinique,11736,0,90,0,98,11548,24,31295,240,170302,454127,375010,Africa
150,Djibouti,11434,0,151,0,11266,17,0,11428,151,154011,153928,1000540,North America
151,Congo,11343,0,148,0,8208,2987,0,2013,26,141948,25185,5636212,South America
152,Bahamas,11225,201,221,5,10080,924,8,28308,557,92954,234419,396529,North America
153,Aruba,10857,3,105,1,10672,80,14,101313,980,158379,1477926,107163,Asia
154,Lesotho,10790,0,320,0,6427,4043,0,5002,148,87981,40787,2157103,Africa
155,South Sudan,10652,0,115,0,10462,75,0,942,10,159088,14068,11308374,Africa
156,Seychelles,9764,580,35,3,7826,1903,0,98746,354,21504,217476,98880,North America
157,Benin,7995,0,101,0,7652,242,35,645,8,595112,47996,12399208,Europe
158,Equatorial Guinea,7694,0,112,0,7279,303,7,5332,78,123169,85359,1442953,Africa
159,Nicaragua,7086,0,184,0,4225,2677,0,1059,27,0,0,6693404,Asia
160,CAR,6866,0,95,0,5112,1659,2,1400,19,40907,8343,4902986,Africa
161,Yemen,6568,25,1294,5,3042,2232,23,216,43,38810,1277,30397797,Africa
162,Iceland,6548,11,29,0,6456,63,4,19080,85,631957,1841468,343181,Europe
163,Gambia,5957,17,175,0,5701,81,3,2406,71,76379,30852,2475641,Africa
164,Niger,5339,6,192,0,4975,172,2,214,8,102694,4113,24965512,Africa
165,San Marino,5087,4,90,0,4974,23,4,149648,2648,64241,1889830,33993,North America
166,Chad,4904,0,173,0,4691,40,0,291,10,116939,6946,16835185,Europe
167,Saint Lucia,4818,0,76,1,4521,221,2,26133,412,43260,234647,184362,Europe
168,Timor-Leste,4589,131,10,0,2406,2173,0,3424,7,85223,63584,1340328,Africa
169,Vietnam,4359,184,37,1,2668,1654,0,44,4,3091540,31513,98104367,Africa
170,Burundi,4347,18,6,0,773,3568,0,356,5,279132,22883,12198207,North America
171,Gibraltar,4286,0,94,0,4192,0,0,127249,2791,244039,7245383,33682,Africa
172,Sierra Leone,4107,0,79,0,3104,924,0,506,10,153257,18878,8118280,Africa
173,Channel Islands,4059,2,86,0,3956,17,0,23159,491,454413,2592734,175264,Africa
174,Barbados,3968,1,46,0,3922,0,0,13793,160,163093,566919,287683,Europe
175,Eritrea,3868,24,14,2,3676,178,0,1078,4,23693,6601,3589270,Asia
176,Comoros,3863,0,146,0,3699,18,0,4361,165,0,0,885730,Australia/Oceania
177,Guinea-Bissau,3746,0,67,0,3438,241,9,1865,33,65627,32675,2008468,Europe
178,Liechtenstein,2990,5,58,0,2887,45,3,78223,1517,39109,1023153,38224,North America
179,New Zealand,2651,5,26,0,2607,18,0,530,5,2082570,416339,5002100,Africa
180,Monaco,2494,1,32,0,2446,16,1,63163,810,51953,1315765,39485,North America
181,Bermuda,2477,11,32,0,2284,161,7,39903,515,256914,4138701,62076,North America
182,Turks and Caicos,2404,0,17,0,2365,22,2,61367,434,65926,1682902,39174,Africa
183,Sao Tome and Principe,2330,3,35,0,2275,20,0,10462,157,13418,60250,222706,North America
184,Sint Maarten,2292,10,27,0,2229,36,2,52932,624,28642,661463,43301,North America
185,Liberia,2114,0,85,0,1962,67,2,410,16,97875,18964,5161107,Europe
186,Taiwan,2017,335,12,0,1123,882,0,85,5,610865,25608,23854548,North America
187,St. Vincent Grenadines,1937,0,12,0,1772,153,2,17411,108,47148,423806,111249,Asia
188,Saint Martin,1773,0,12,0,1399,362,7,45182,306,27588,703040,39241,North America
189,Laos,1638,47,2,0,582,1054,0,222,3,223820,30379,7367706,Africa
190,Caribbean Netherlands,1599,2,17,0,1564,18,0,60486,643,10072,380996,26436,Asia
191,Isle of Man,1591,1,29,0,1558,4,1,18624,339,44761,523968,85427,Asia
192,Bhutan,1296,10,1,0,1177,118,0,1664,1,746914,958772,779032,North America
193,Mauritius,1287,5,17,0,1145,125,0,1011,13,358675,281619,1273617,Europe
194,Antigua and Barbuda,1251,10,42,9,1182,27,4,12683,426,16700,169306,98638,North America
195,St. Barth,974,0,1,0,462,511,0,98354,101,26385,2664344,9903,Africa
196,Diamond Princess,712,0,13,0,699,0,0,0,0,0,0,0,Australia/Oceania
197,Faeroe Islands,670,0,1,0,667,2,0,13666,20,259990,5303104,49026,Asia
198,Cayman Islands,565,0,2,0,547,16,0,8510,30,93583,1409467,66396,North America
199,Tanzania,509,0,21,0,183,305,7,8,3,0,0,61211895,North America
200,Wallis and Futuna,445,0,7,0,436,2,1,40213,633,17264,1560094,11066,North America
201,British Virgin Islands,248,0,1,0,209,38,0,8156,33,39777,1308153,30407,Australia/Oceania
202,Brunei,232,0,3,0,220,9,0,526,7,123068,278977,441141,Asia
203,Dominica,178,0,0,0,176,2,0,2467,0,15844,219619,72143,Australia/Oceania
204,Fiji,174,2,4,0,119,51,0,193,4,70792,78472,902128,South America
205,Grenada,161,0,1,0,160,0,0,1425,9,28684,253888,112979,Asia
