,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
66,Moldova,253567,181,6006,11,244487,3074,160,62985,1492,1040432,258440,4025815,Europe
67,Slovenia,248520,471,4314,6,236049,8157,125,119528,2075,1224095,588738,2079186,North America
68,Egypt,243317,1197,14206,56,179817,49294,90,2340,137,2715258,26108,104000632,Africa
69,Guatemala,240170,1383,7845,13,219456,12869,5,13195,431,1336353,73419,18201700,North America
70,Uruguay,235206,3305,3369,51,204051,27786,515,67507,967,1980797,568512,3484175,Asia
71,Honduras,223922,930,5898,45,82187,135837,510,22301,587,668892,66618,10040740,North America
72,Armenia,220447,230,4301,10,207464,8682,0,74273,1449,1030335,347142,2968051,Asia
73,Venezuela,212998,1160,2366,14,196759,13873,316,7509,83,3359014,118417,28365910,Europe
74,Qatar,212667,244,524,2,205750,6393,215,75741,187,1964598,699692,2807805,South America
75,Oman,202713,0,2148,0,186391,14174,255,38845,412,1550000,297022,5218477,Asia
76,Bosnia and Herzegovina,202143,140,8981,23,168549,24613,0,61949,2752,937964,287449,3263066,Africa
77,Bahrain,197474,1369,732,17,181237,15505,163,112692,418,4322199,2466533,1752338,South America
78,Libya,181179,0,3085,0,167629,10465,0,26061,444,981532,141185,6952103,Asia
79,Nigeria,165661,49,2066,0,156399,7196,11,787,10,1977479,9392,210540789,Africa
80,Kenya,165112,392,2976,8,113432,48704,118,3013,54,1737168,31704,54792624,Africa
81,North Macedonia,154524,30,5184,16,143427,5913,124,74173,2488,749727,359875,2083300,Europe
82,Myanmar,143035,31,3212,0,132072,7751,0,2614,59,2599597,47502,54725973,Asia
83,Sri Lanka,138085,2289,921,29,110108,27056,0,6425,43,3075321,143097,21491133,Europe
84,Albania,131939,49,2427,1,122105,7407,18,45891,844,669140,232739,2875067,Africa
85,S. Korea,130380,747,1893,2,120395,8092,153,2541,37,9281291,180895,51307497,Europe
86,Latvia,127053,666,2248,8,115670,9135,81,68014,1203,2470356,1322436,1868034,Asia
87,Estonia,126641,278,1217,5,118008,7416,36,95412,917,1351340,1018104,1327310,Europe
88,Algeria,125059,170,3360,5,87137,34562,28,2808,75,230861,5184,44534813,Europe
89,Cuba,121838,1277,785,7,114544,6509,138,10762,69,3946550,348616,11320611,Asia
90,Norway,118740,425,774,0,88952,29014,24,21755,142,5423294,993646,5457973,North America
91,Kyrgyzstan,99845,200,1687,6,92953,5205,85,15089,255,1046855,158202,6617195,Europe
92,Montenegro,98703,84,1556,5,95676,1471,64,157137,2477,392125,624269,628135,Asia
93,Uzbekistan,96117,291,667,0,91507,3943,23,2836,20,1377915,40660,33888586,Africa
94,Thailand,96050,2256,548,30,62316,33186,1207,1373,8,8124896,116150,69951988,Africa
95,Ghana,93243,84,783,0,91146,1314,7,2948,25,1118523,35360,31632469,Asia
96,Zambia,92356,94,1260,0,90699,397,36,4906,67,1462217,77666,18826944,Europe
97,China,90815,7,4636,0,85894,285,1,63,3,160000000,111163,1439323776,Africa
98,Finland,89686,154,931,1,46000,42755,28,16165,168,4720329,850787,5548192,North America
99,Cameroon,74946,0,1152,0,70497,3297,385,2764,42,1518411,55999,27115061,Europe
100,El Salvador,70915,0,2178,5,66418,2319,28,10886,334,946627,145309,6514588,Africa
101,Cyprus,70742,171,346,4,39061,31335,51,58225,285,5733920,4719369,1214976,Asia
102,Mozambique,70361,46,826,0,68487,1048,24,2198,26,534044,16684,32008868,Asia
103,Luxembourg,68922,23,806,0,66183,1933,30,108577,1270,2760597,4348917,634778,Asia
104,Afghanistan,63412,63,2733,3,54634,6045,1124,1598,69,428935,10809,39684190,Africa
105,Singapore,61505,52,31,0,61047,427,3,10442,5,10441802,1772738,5890210,Asia
106,Namibia,50733,0,704,0,47776,2253,60,19659,273,406093,157361,2580640,Africa
107,Botswana,49656,615,761,10,46640,2255,1,20754,318,1089391,455317,2392597,Africa
108,Mongolia,47548,515,200,7,38330,9018,110,14305,60,2815627,847083,3323909,North America
109,Jamaica,47150,130,838,4,22895,23417,18,15863,282,351564,118277,2972378,Africa
110,Ivory Coast,46535,15,295,1,46006,234,0,1727,11,608960,22603,26940965,Africa
111,Maldives,42775,1467,92,5,27672,15011,90,77948,168,788171,1436261,548766,Africa
112,Uganda,42674,96,347,1,41971,356,24,908,7,1055305,22462,46982269,Africa
113,Senegal,40806,16,1122,0,39529,155,11,2383,66,495502,28936,17123805,Africa
114,Madagascar,39888,129,748,3,37431,1709,285,1409,26,194669,6878,28304042,Africa
115,Zimbabwe,38535,44,1582,0,36308,645,12,2560,105,443025,29437,15049987,Europe
116,Sudan,34272,0,2446,0,27949,3877,0,766,55,232965,5208,44731659,Australia/Oceania
117,Malawi,34200,0,1153,0,32176,871,11,1749,59,238017,12171,19555612,Africa
118,DRC,30511,33,775,0,26601,3135,0,332,8,155250,1689,91902095,Asia
119,Malta,30474,1,417,0,29877,180,0,68858,942,893092,2017995,442564,Asia
120,Angola,30030,335,651,2,25650,3729,22,890,19,527590,15635,33744917,Africa
121,Australia,29957,2,910,0,28886,161,1,1163,35,17449487,677494,25755941,Africa
122,Cabo Verde,27672,286,244,1,24546,2882,23,49307,435,158645,282681,561215,Africa
123,Rwanda,26033,99,343,1,24592,1098,1,1968,26,1362483,102994,13228796,Africa
124,Gabon,23799,65,143,0,20379,3277,15,10480,63,767445,337934,2270994,Asia
125,Syria,23645,50,1688,6,20197,1760,0,1323,94,103566,5797,17866944,Africa
126,Guinea,22746,27,151,0,20366,2229,24,1692,11,445243,33130,13439391,Africa
127,Réunion,22644,0,169,0,21603,872,36,25136,188,102720,114026,900850,Africa
128,Cambodia,21499,358,147,5,9867,11485,0,1271,9,1029636,60857,16919063,Australia/Oceania
129,French Guiana,21465,32,108,0,9995,11362,28,70297,354,234758,768821,305348,Africa
130,Mayotte,20176,0,171,0,2964,17041,6,72449,614,176919,635286,278487,South America
131,French Polynesia,18815,18,141,0,18650,24,1,66645,499,26355,93353,282316,Africa
