,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
1,USA,33802324,28541,601949,636,27299180,5901195,7652,101596,1809,468945602,1409464,332712023,North America
2,India,25771405,276261,287156,3880,22348683,3135566,8944,18515,206,320301177,230112,1391938524,Asia
3,Brazil,15815191,79706,441864,2485,14330118,1043209,8318,73941,2066,47073060,220081,213889584,South America
4,France,5917397,19050,108181,141,5188782,620434,3862,90479,1654,81995097,1253731,65400845,Europe
5,Turkey,5151038,11553,45419,233,4980516,125103,2162,60503,533,51512691,605056,85137097,Europe
6,Russia,4965676,7920,116965,390,4581787,266924,2300,34014,801,134300000,919928,145989656,Asia
7,UK,4452527,2696,127694,3,4284015,40818,124,65286,1872,172256865,2525756,68200120,Europe
8,Italy,4172525,5506,124646,149,3741149,306730,1643,69101,2064,63571711,1052802,60383369,Europe
9,Germany,3627777,11881,87405,257,3340400,199972,3708,43178,1040,58093759,691427,84020058,Europe
10,Spain,3625928,6080,79568,66,3342024,204336,1740,77526,1701,48928535,1046135,46770751,Europe
11,Argentina,3411160,39652,72265,494,3009150,329745,5877,74871,1586,12728157,279367,45560644,South America
12,Colombia,3161126,16579,82743,452,2961313,117070,6582,61549,1611,16074868,312985,51359811,Europe
13,Poland,2859265,2348,72250,329,2610932,176083,1377,75622,1911,15335408,405591,37810035,South America
14,Iran,2792204,12789,77765,233,2272719,441720,5158,32874,916,18418983,216853,84937680,Asia
15,Mexico,2385512,2767,220746,257,1905591,259175,4798,18333,1696,6874702,52832,130124027,North America
16,Ukraine,2165233,5138,48696,227,1899446,217091,177,49774,1119,9914382,227908,43501627,Europe
17,Peru,1903615,5715,67034,264,1720665,115916,2660,57037,2008,12240660,366758,33375320,South America
18,Indonesia,1753101,4871,48669,192,1616603,87829,0,6350,176,15738417,57009,276067124,Asia
19,Czechia,1655425,1200,29960,12,1602903,22562,224,154330,2793,22005586,2051516,10726498,Europe
20,South Africa,1621362,3522,55507,167,1528868,36987,546,27038,926,11207305,186895,59965841,Africa
21,Netherlands,1610868,4549,17488,15,1393477,199903,631,93828,1019,13524699,787772,17168296,Europe
22,Canada,1342388,4247,25066,48,1255714,61608,1344,35295,659,33754111,887488,38033326,North America
23,Chile,1300629,4767,27997,32,1236581,36051,2972,67528,1454,14076346,730837,19260593,South America
24,Philippines,1159055,4684,19506,135,1089531,50018,1819,10455,176,12793212,115397,110862535,Europe
25,Iraq,1151557,4609,16069,40,1061975,73513,457,28078,392,9970564,243107,41013036,Asia
26,Romania,1073679,707,29716,54,1028554,15409,718,56142,1554,8753313,457707,19124290,Asia
27,Sweden,1051762,0,14349,38,902442,134971,283,103574,1413,9481745,933728,10154718,Europe
28,Belgium,1034714,1819,24749,26,922277,87688,613,88938,2127,13349334,1147435,11634063,Europe
29,Pakistan,886184,3256,19856,104,799951,66377,4549,3945,88,12552339,55874,224653004,Asia
30,Portugal,843278,511,17013,2,804176,22089,56,82914,1673,11271353,1108244,10170462,Europe
31,Israel,839221,54,6395,3,832232,594,58,91244,695,14487253,1575114,9197590,Asia
32,Hungary,799588,633,29329,52,648513,121746,224,82956,3043,5670793,588336,9638698,Europe
33,Bangladesh,783737,1608,12248,37,726132,45357,1155,4718,74,5755446,34644,166132540,Asia
34,Jordan,727612,1180,9314,19,710445,7853,729,70695,905,7034669,683493,10292227,Asia
35,Serbia,708328,609,6725,15,682847,18756,80,81358,772,4041471,464201,8706292,Europe
36,Japan,692702,5229,11851,227,609086,71765,1293,5492,94,13307674,105504,126134642,Europe
37,Switzerland,684954,1554,10755,4,626589,47610,171,78637,1235,7390415,848465,8710337,Europe
38,Austria,639054,899,10508,9,618798,9748,267,70601,1161,37237382,4113875,9051656,Asia
39,UAE,550029,1348,1639,2,530085,18305,0,55028,164,47513885,4753558,9995437,Asia
40,Lebanon,537043,489,7651,10,503774,25618,292,78995,1125,4241656,623915,6798451,Africa
41,Morocco,515758,338,9106,1,504210,2442,106,13829,244,6406161,171769,37295133,Asia
42,Malaysia,485496,6075,2040,46,436116,47340,559,14833,62,10765602,328917,32730407,Asia
43,Nepal,480418,8064,5657,246,360403,114358,0,16232,191,2834098,95758,29596521,Europe
44,Saudi Arabia,436239,1213,7201,13,420671,8367,1372,12362,204,18194963,515586,35289873,Asia
45,Bulgaria,415687,361,17416,37,369781,28490,460,60225,2523,2709565,392565,6902215,Europe
46,Ecuador,412907,1441,19979,102,354499,38429,584,23095,1118,1380547,77219,17878294,South America
47,Slovakia,388138,246,12262,14,372069,3807,171,71062,2245,2778680,508732,5461974,North America
48,Greece,383558,2292,11587,53,340612,31359,642,36958,1116,9003208,867521,10378085,Europe
49,Belarus,380089,1378,2732,11,370135,7222,0,40236,289,6133343,649266,9446581,Europe
50,Panama,372221,537,6305,5,360254,5662,105,85091,1441,2548227,582532,4374396,Europe
51,Kazakhstan,364048,2018,4124,29,323816,36108,221,19187,217,10989671,579192,18974127,Asia
52,Croatia,351997,1000,7792,27,338982,5223,163,86213,1908,1946021,476627,4082899,Asia
53,Bolivia,337441,2617,13635,69,275069,48737,200,28565,1154,1330406,112623,11812907,Asia
54,Georgia,333601,1160,4519,20,313651,15431,0,83769,1135,4650210,1167688,3982409,South America
55,Azerbaijan,331040,339,4814,12,317609,8617,0,32393,471,3414614,334125,10219584,Asia
56,Tunisia,329925,1397,12032,61,291515,26378,445,27661,1009,1403153,117641,11927375,Africa
57,Paraguay,321032,2781,7914,112,266328,46790,569,44529,1098,1212383,168164,7209542,Asia
58,Palestine,304532,458,3448,11,295643,5441,59,58505,662,1795993,345035,5205251,North America
59,Kuwait,294693,1119,1703,2,280940,12050,185,68121,394,2487024,574897,4326035,Asia
60,Costa Rica,293820,2900,3696,23,225950,64174,517,57219,720,1134165,220868,5135044,South America
61,Dominican Republic,279565,1016,3597,0,234785,41183,306,25546,329,1491612,136300,10943590,Europe
62,Denmark,269343,1088,2505,2,253678,13160,23,46357,431,48583579,8361806,5810178,Africa
63,Lithuania,267819,961,4139,12,243126,20554,184,99610,1539,3151738,1172232,2688665,Europe
64,Ethiopia,267597,497,4038,17,222560,40999,524,2278,34,2666416,22701,117455676,Europe
65,Ireland,256893,503,4941,0,238970,12982,38,51520,991,4729538,948510,4986281,Europe
66,Moldova,254213,138,6053,10,245510,2650,124,63148,1504,1059810,263262,4025687,Europe
67,Slovenia,250453,532,4338,5,239442,6673,110,120457,2086,1240948,596842,2079190,North America
68,Uruguay,249365,3339,3638,60,216589,29138,492,71567,1044,2044626,586805,3484339,Africa
69,Egypt,249238,1160,14498,57,183696,51044,90,2396,139,2715258,26101,104027039,North America
70,Guatemala,243833,1049,7928,15,224185,11720,5,13393,435,1360587,74732,18206234,Asia
71,Honduras,228287,771,6019,49,83086,139182,536,22731,599,684637,68171,10042894,North America
72,Armenia,221368,229,4357,11,209508,7503,0,74582,1468,1046412,352550,2968126,Asia
73,Venezuela,218814,1211,2446,18,202625,13743,316,7714,86,3359014,118422,28364814,Europe
74,Qatar,214150,295,538,2,209251,4361,181,76270,192,1981339,705654,2807805,South America
75,Oman,207805,696,2228,9,192198,13379,252,39807,427,1550000,296920,5220257,Asia
76,Bahrain,206878,2354,773,8,188496,17609,197,118004,441,4412989,2517177,1753150,Africa
77,Bosnia and Herzegovina,202847,172,9086,16,170788,22973,0,62170,2785,952119,291811,3262788,South America
78,Libya,182350,338,3097,0,169070,10183,0,26225,445,992938,142799,6953379,Asia
79,Kenya,166382,376,3035,14,114235,49112,108,3036,55,1756846,32054,54808842,Africa
80,Nigeria,165852,43,2067,0,156456,7329,11,787,10,2002653,9509,210610797,Africa
81,North Macedonia,154891,87,5249,17,146499,3143,25,74349,2520,763451,366463,2083299,Europe
82,Sri Lanka,151343,3623,1051,36,122367,27925,0,7042,49,3075321,143089,21492357,Asia
83,Myanmar,143159,28,3216,3,132136,7807,0,2616,59,2606374,47622,54730948,Europe
84,S. Korea,133471,653,1912,8,123237,8322,148,2601,37,9428644,183765,51308098,Africa
85,Albania,132095,24,2438,2,127240,2417,18,45946,848,680210,236593,2875024,Europe
