,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
1,USA,33715951,17834,600147,289,27136020,5979784,7971,101342,1804,466056452,1400847,332696143,North America
2,India,24964925,281860,274411,4092,21167609,3522905,8944,17937,197,314850143,226213,1391827403,Asia
3,Brazil,15627475,36862,435823,971,14097287,1094365,8318,73068,2038,47073060,220094,213877218,South America
4,France,5877787,13948,107616,81,5116786,653385,4255,89875,1646,81239297,1242197,65399664,Europe
5,Turkey,5117374,10512,44760,223,4947256,125358,2468,60113,526,50869896,597558,85129663,Europe
6,Russia,4940245,8554,115871,391,4556073,268301,2300,33840,794,133500000,914452,145989144,Asia
7,UK,4450777,1926,127679,4,4277207,45891,129,65263,1872,169007195,2478213,68197203,Europe
8,Italy,4159122,5753,124156,93,3706084,328882,1779,68878,2056,62902667,1041709,60384095,Europe
9,Spain,3604799,0,79339,0,3297340,228120,1899,77074,1696,47213067,1009460,46770603,Europe
10,Germany,3602939,7067,86731,62,3286400,229808,4376,42883,1032,58093759,691445,84017867,Europe
11,Argentina,3307285,16350,70522,269,2952599,284164,5538,72596,1548,12399366,272171,45557248,South America
12,Colombia,3118426,15093,81300,520,2917584,119542,6582,60722,1583,15925025,310095,51355369,Europe
13,Poland,2854079,2167,71664,55,2600974,181441,1589,75484,1895,15184082,401585,37810373,South America
14,Iran,2751166,11291,76936,303,2226122,448108,5337,32394,906,18018878,212164,84928868,Asia
15,Mexico,2380690,2695,220380,221,1899742,260568,4798,18297,1694,6846110,52617,130112930,North America
16,Ukraine,2153864,3620,48075,133,1857724,248065,177,49510,1105,9841788,226228,43503769,Europe
17,Peru,1889052,4456,66220,309,1720665,102167,2680,56607,1984,12091820,362339,33371555,South America
18,Indonesia,1739750,3080,48093,126,1600857,90800,0,6302,174,15528037,56252,276043430,Asia
19,Czechia,1652840,596,29901,8,1592263,30676,270,154092,2788,21298436,1985621,10726335,Europe
20,South Africa,1613728,2585,55210,27,1524352,34166,546,26914,921,11115048,185375,59959712,Africa
21,Netherlands,1598164,4436,17449,13,1369607,211108,681,93090,1016,13524699,787786,17167986,Europe
22,Canada,1328582,4901,24948,40,1233287,70347,1344,34935,656,33482165,880400,38030617,North America
23,Chile,1286548,6296,27832,98,1220351,38365,2954,66802,1445,13947396,724192,19259250,South America
24,Philippines,1143963,5790,19191,140,1069868,54904,1819,10320,173,12618348,113832,110850579,Europe
25,Iraq,1139373,2456,15954,24,1045240,78179,456,27786,389,9872873,240769,41005620,Asia
26,Romania,1071899,565,29523,38,1025145,17231,777,56046,1544,8678223,453755,19125336,Asia
27,Sweden,1037126,0,14275,0,892260,130591,306,102138,1406,9481745,933775,10154202,Europe
28,Belgium,1030071,1967,24686,22,910652,94733,622,88542,2122,13252380,1139142,11633650,Europe
29,Pakistan,877130,2379,19543,76,788768,68819,4376,3905,87,12444042,55401,224617789,Asia
30,Portugal,842182,334,17007,1,802900,22275,71,82805,1672,11165909,1097850,10170705,Europe
31,Israel,839119,2,6382,1,832072,665,71,91232,694,14487253,1575114,9197590,Asia
32,Hungary,798147,718,29175,61,625088,143884,261,82805,3027,5638662,584990,9638898,Europe
33,Bangladesh,780159,363,12149,25,722036,45974,1149,4696,73,5707716,34359,166119101,Asia
34,Jordan,724154,809,9259,16,710445,4450,729,70365,900,6940992,674446,10291397,Asia
35,Serbia,706458,568,6681,17,677135,22642,99,81141,767,4009511,460515,8706580,Europe
36,Switzerland,679510,0,10731,1,617283,51496,187,78017,1232,7273942,835143,8709819,Europe
37,Japan,677988,6425,11463,98,590044,76481,1223,5375,91,13084423,103731,126137802,Europe
38,Austria,637097,673,10474,4,616148,10475,293,70388,1157,36393075,4020785,9051236,Asia
39,UAE,546182,1251,1631,2,526302,18249,0,54648,163,46919907,4694593,9994457,Asia
40,Lebanon,535753,307,7620,18,497198,30935,333,78802,1121,4183866,615392,6798700,Africa
41,Morocco,514944,127,9098,0,503181,2665,96,13809,244,6380889,171108,37291548,Asia
42,Malaysia,470110,3780,1902,36,426319,41889,520,14365,58,10503288,320936,32727008,Asia
43,Nepal,455020,7316,5001,145,339756,110263,0,15376,169,2771020,93640,29592220,Europe
44,Saudi Arabia,433094,825,7162,15,417787,8145,1376,12274,203,17970506,509290,35285426,Asia
45,Bulgaria,414192,151,17259,9,362475,34458,499,60005,2500,2668212,386549,6902641,Europe
46,Ecuador,410129,609,19699,7,354499,35931,587,22943,1102,1368816,76572,17876097,South America
47,Slovakia,387523,103,12224,21,370895,4404,193,70950,2238,2762414,505756,5461953,North America
48,Greece,377090,1259,11415,50,338571,27104,656,36334,1100,8856180,853320,10378501,Europe
49,Belarus,376341,1627,2701,10,367097,6543,0,39839,286,6090900,644771,9446606,Europe
50,Panama,370877,344,6296,0,359214,5367,105,84794,1439,2524764,577242,4373839,Europe
51,Kazakhstan,358104,2459,4054,15,316003,38047,221,18875,214,10749824,566607,18972287,Asia
52,Croatia,350390,480,7708,21,336450,6232,181,85815,1888,1927262,472009,4083105,Asia
53,Bolivia,331516,1783,13493,42,270466,47557,200,28067,1142,1305414,110520,11811601,Asia
54,Georgia,330375,968,4442,16,308821,17112,0,82957,1115,4579651,1149952,3982471,South America
55,Azerbaijan,329843,472,4779,11,314900,10164,0,32278,468,3384053,331158,10218835,Asia
56,Tunisia,326572,740,11849,70,287644,27079,445,27382,994,1387361,116327,11926362,Africa
57,Paraguay,313527,1781,7596,62,260339,45592,582,43492,1054,1194232,165663,7208824,Asia
58,Palestine,303827,169,3428,5,292523,7876,78,58380,659,1790483,344041,5204277,North America
59,Kuwait,291629,828,1693,6,277820,12116,186,67421,391,2460103,568742,4325517,Asia
60,Costa Rica,282741,0,3547,0,221903,57291,489,55065,691,1093074,212881,5134663,South America
61,Dominican Republic,277188,916,3582,13,233830,39776,289,25331,327,1478358,135100,10942699,Europe
62,Denmark,266503,964,2502,0,250951,13050,32,45870,431,46740649,8044847,5810011,Africa
63,Ethiopia,266264,432,3996,20,219566,42702,582,2267,34,2652558,22588,117432264,Europe
64,Lithuania,265536,740,4103,14,239915,21518,185,98750,1526,3105619,1154946,2688974,Europe
65,Ireland,255672,355,4941,0,237878,12853,39,51280,991,4729538,948596,4985829,Europe
66,Moldova,253845,109,6027,11,244857,2961,149,63055,1497,1048032,260331,4025764,Europe
67,Slovenia,249310,292,4324,4,237424,7562,120,119907,2080,1230743,591934,2079188,North America
68,Egypt,245721,1201,14327,58,181478,49916,90,2362,138,2715258,26105,104011195,Africa
69,Guatemala,241369,252,7887,15,221298,12184,5,13259,433,1345112,73893,18203514,North America
70,Uruguay,240512,2433,3459,40,209338,27715,499,69029,993,2005217,575510,3484241,Asia
71,Honduras,225964,708,5954,17,82561,137449,536,22503,593,676623,67382,10041602,North America
72,Armenia,220860,131,4323,9,208454,8083,0,74412,1456,1036673,349274,2968081,Asia
73,Venezuela,215301,1070,2396,14,199202,13703,316,7590,84,3359014,118419,28365471,Europe
74,Qatar,213183,256,530,4,207077,5576,205,75925,189,1970800,701901,2807805,South America
75,Oman,205511,588,2193,9,190342,12976,255,39376,420,1550000,296981,5219189,Asia
76,Bosnia and Herzegovina,202143,0,8981,0,168549,24613,0,61951,2752,937964,287458,3262955,Africa
77,Bahrain,200977,1884,746,9,183859,16372,160,114670,426,4353926,2484178,1752663,South America
78,Libya,181410,231,3088,3,168128,10194,0,26092,444,983395,141443,6952613,Asia
79,Nigeria,165709,7,2066,0,156413,7230,11,787,10,1977479,9391,210568792,Africa
80,Kenya,165465,86,3003,2,113612,48850,117,3019,55,1744393,31833,54799111,Africa
81,North Macedonia,154698,62,5211,14,145851,3636,111,74256,2501,756480,363116,2083299,Europe
82,Myanmar,143065,6,3212,0,132115,7738,0,2614,59,2601770,47540,54727963,Asia
