,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
1,USA,33626097,39825,598540,762,26667199,6360358,8611,101076,1799,462795300,1391111,332680263,North America
2,India,24046120,343288,262350,3999,20073367,3710403,8944,17278,189,309448585,222350,1391716282,Asia
3,Brazil,15436827,75141,430596,2340,13979329,1026902,8318,72180,2013,46970130,219625,213864852,South America
4,France,5841129,19461,107250,131,4999210,734669,4442,89316,1640,80214807,1226555,65398484,Europe
5,Turkey,5083996,11534,44059,238,4856763,183174,2765,59726,518,50259943,590444,85122228,Europe
6,Russia,4913439,8380,114723,392,4527878,270838,2300,33656,786,132400000,906920,145988633,Asia
7,UK,4444631,2657,127651,11,4258298,58682,136,65176,1872,169007195,2478319,68194286,Europe
8,Italy,4139160,8085,123745,201,3669407,346008,1893,68546,2049,62107222,1028524,60384820,Europe
9,Spain,3598452,5701,79281,73,3297340,221831,1931,76939,1695,47213067,1009463,46770455,Europe
10,Germany,3575644,17496,86276,267,3240300,249068,5049,42559,1027,58093759,691463,84015677,Europe
11,Argentina,3242103,26531,69254,447,2891435,281414,5420,71171,1520,12142248,266547,45553852,South America
12,Colombia,3067879,19160,79760,499,2874656,113463,6582,59743,1553,15711926,305972,51350926,Europe
13,Poland,2845762,3730,71021,342,2584751,189990,1772,75263,1878,15017415,397174,37810712,South America
14,Iran,2722007,14246,76231,297,2179890,465886,5481,32054,898,17616446,207447,84920057,Asia
15,Mexico,2371483,3090,219590,267,1893236,258657,4798,18228,1688,6791913,52205,130101834,North America
16,Ukraine,2135886,6813,47333,346,1816643,271910,177,49094,1088,9721036,223442,43505911,Europe
17,Peru,1873316,7677,65316,418,1720665,87335,2681,56141,1957,11901521,356677,33367789,South America
18,Indonesia,1731652,3448,47716,99,1589079,94857,0,6274,173,15410887,55833,276019737,Asia
19,Czechia,1649947,1261,29825,13,1587457,32665,337,153824,2781,20767772,1936177,10726173,Europe
20,South Africa,1605252,3221,55012,44,1520878,29362,546,26775,918,11010999,183659,59953584,Africa
21,Netherlands,1583767,6013,17413,14,1346626,219728,716,92253,1014,13171698,767238,17167676,Europe
22,Canada,1312414,6644,24825,59,1212114,75475,1327,34512,653,33130218,871208,38027907,North America
23,Chile,1266601,6153,27520,136,1204176,34905,2976,65770,1429,13750280,714007,19257906,South America
24,Iraq,1132092,4512,15883,28,1028627,87582,471,27613,387,9817969,239473,40998203,Europe
25,Philippines,1124724,6385,18821,107,1050643,55260,750,10147,170,12467422,112483,110838623,Asia
26,Romania,1069770,953,29308,75,1020194,20268,829,55932,1532,8592149,449230,19126382,Asia
27,Sweden,1027934,0,14267,0,871072,142595,346,101238,1405,8798383,866521,10153687,Europe
28,Belgium,1023583,3251,24630,21,897904,101049,657,87988,2117,13125499,1128276,11633238,Europe
29,Pakistan,870703,3265,19336,126,776315,75052,4567,3877,86,12349976,54991,224582574,Asia
30,Portugal,840929,436,16999,1,801961,21969,70,82680,1671,11052822,1086705,10170947,Europe
31,Israel,839059,29,6379,0,831888,792,67,91226,694,14466175,1572822,9197590,Asia
