,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,World,"161,472,416","+395,655","3,351,188","+6,379","140,292,568","+443,298","17,828,660","104,635","20,715",429.9,,,,All,"
",,,,,
33,33,Bangladesh,"778,687","+1,290","12,076 ",+31,"719,619","+1,370","46,992","1,149","4,688",73,"5,690,693","34,260","166,101,183 ",Asia,213,"13,755",29,8,0.2,283
34,34,Jordan,"722,754",+418,"9,203 ",+23,"710,410","+1,556","3,141",729,"70,236",894,"6,903,678","670,892","10,290,291 ",Asia,14,"1,118",1,41,2,305
35,35,Serbia,"704,398",+901,"6,629 ",+18,"671,361","+2,051","26,408",98,"80,901",761,"3,977,053","456,767","8,706,962 ",Europe,12,"1,313",2,103,2,"3,033"
36,36,Switzerland,"677,210",,"10,725 ",,"612,471",,"54,014",190,"77,759","1,231","7,216,520","828,616","8,709,128 ",Europe,13,812,1,,,"6,202"
37,37,Japan,"658,629","+7,058","11,165 ",+101,"573,913","+5,355","73,551","1,214","5,221",89,"12,789,711","101,391","126,142,014 ",Asia,192,"11,298",10,56,0.8,583
38,38,Austria,"634,893",+933,"10,444 ",+16,"611,254","+1,588","13,195",316,"70,149","1,154","35,798,712","3,955,363","9,050,676 ",Europe,14,867,0,103,2,"1,458"
39,39,UAE,"542,158","+1,512","1,623 ",+4,"522,356","+1,474","18,179",,"54,253",162,"46,613,437","4,664,538","9,993,152 ",Asia,18,"6,157",0,151,0.4,"1,819"
40,40,Lebanon,"534,968",+580,"7,569 ",+20,"492,270","+1,965","35,129",333,"78,683","1,113","4,163,257","612,331","6,799,033 ",Asia,13,898,2,85,3,"5,167"
41,41,Morocco,"514,432",,"9,088 ",,"501,692",,"3,652",108,"13,797",244,"6,348,840","170,271","37,286,768 ",Africa,72,"4,103",6,,,98
42,42,Malaysia,"458,077","+4,855","1,788 ",+27,"414,707","+3,347","41,582",481,"13,999",55,"10,341,089","316,024","32,722,476 ",Asia,71,"18,301",3,148,0.8,"1,271"
43,43,Nepal,"431,191","+8,842","4,466 ",+214,"321,518","+5,055","105,207",,"14,574",151,"2,712,562","91,682","29,586,485 ",Asia,69,"6,625",11,299,7,"3,556"
44,44,Saudi Arabia,"430,505","+1,116","7,122 ",+11,"414,139","+1,129","9,244","1,344","12,203",202,"17,812,376","504,893","35,279,497 ",Asia,82,"4,954",2,32,0.3,262
45,45,Bulgaria,"412,814",,"17,150 ",,"357,149",,"38,515",526,"59,800","2,484","2,631,255","381,164","6,903,209 ",Europe,17,403,3,,,"5,579"
46,46,Ecuador,"404,632",,"19,349 ",,"342,878",,"42,405",607,"22,639","1,083","1,350,957","75,586","17,873,167 ",South America,44,924,13,,,"2,373"
47,47,Slovakia,"386,868",+328,"12,135 ",+39,"369,648",+545,"5,085",225,"70,830","2,222","2,745,856","502,727","5,461,924 ",Europe,14,450,2,60,7,931
48,48,Belarus,"372,242",+837,"2,671 ",+10,"362,806",+694,"6,765",,"39,405",283,"6,036,143","638,972","9,446,640 ",Europe,25,"3,537",2,89,1,716
49,49,Greece,"371,712","+2,158","11,266 ",+55,"333,892",,"26,554",683,"35,814","1,085","8,707,677","838,966","10,379,054 ",Europe,28,921,1,208,5,"2,558"
50,50,Panama,"368,930",,"6,285 ",,"358,044",,"4,601",105,"84,364","1,437","2,487,010","568,707","4,373,096 ",North America,12,696,2,,,"1,052"
51,51,Kazakhstan,"350,591","+2,283","3,984 ",+20,"307,464","+2,791","39,143",221,"18,482",210,"10,691,113","563,585","18,969,833 ",Asia,54,"4,762",2,120,1,"2,063"
52,52,Croatia,"348,158","+1,064","7,623 ",+34,"332,669","+1,281","7,866",202,"85,262","1,867","1,906,407","466,870","4,083,381 ",Europe,12,536,2,261,8,"1,926"
53,53,Azerbaijan,"328,159",,"4,726 ",,"309,771",,"13,662",,"32,116",463,"3,353,167","328,168","10,217,838 ",Asia,31,"2,162",3,,,"1,337"
54,54,Georgia,"326,441",+776,"4,379 ",+16,"306,264","+1,329","15,798",,"81,968","1,100","4,473,163","1,123,189","3,982,555 ",Asia,12,909,1,195,4,"3,967"
