,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,World,"160,720,960","+395,091","3,337,515","+6,596","139,481,568","+445,431","17,901,877","105,804","20,619",428.2,,,,All,"
",,,,,
1,1,USA,"33,554,277","+4,162","597,052 ",+106,"26,558,619",+481,"6,398,606","8,775","100,864","1,795","460,458,760","1,384,132","332,669,677 ",North America,10,557,1,13,0.3,"19,234"
2,2,India,"23,588,999","+248,573","256,940 ","+2,715","19,611,259","+234,609","3,720,800","8,944","16,950",185,"307,583,991","221,022","1,391,642,201 ",Asia,59,"5,416",5,179,2,"2,674"
3,3,Brazil,"15,285,048",,"425,711 ",,"13,847,191",,"1,012,146","8,318","71,473","1,991","46,834,128","218,998","213,856,608 ",South America,14,502,5,,,"4,733"
4,4,France,"5,800,170",,"106,935 ",,"4,951,745",,"741,490","4,743","88,691","1,635","79,617,249","1,217,432","65,397,697 ",Europe,11,612,1,,,"11,338"
5,5,Turkey,"5,059,433",,"43,589 ",,"4,766,124",,"249,720","2,975","59,441",512,"49,830,456","585,433","85,117,272 ",Asia,17,"1,953",2,,,"2,934"
6,6,Russia,"4,905,059","+8,217","114,331 ",+355,"4,518,529","+8,614","272,199","2,300","33,599",783,"132,100,000","904,867","145,988,292 ",Europe,30,"1,277",1,56,2,"1,865"
7,7,UK,"4,441,975","+2,284","127,640 ",+11,"4,256,103","+2,736","58,232",138,"65,139","1,872","167,749,070","2,459,940","68,192,342 ",Europe,15,534,0,33,0.2,854
8,8,Italy,"4,131,078","+7,852","123,544 ",+262,"3,655,112","+19,023","352,422","1,992","68,412","2,046","61,820,196","1,023,762","60,385,304 ",Europe,15,489,1,130,4,"5,836"
9,9,Spain,"3,586,333",,"79,100 ",,"3,283,915",,"223,318","2,038","76,680","1,691","47,213,067","1,009,466","46,770,357 ",Europe,13,591,1,,,"4,775"
10,10,Germany,"3,551,550","+7,235","85,921 ",+164,"3,220,300","+23,400","245,329","5,049","42,273","1,023","56,836,969","676,516","84,014,217 ",Europe,24,978,1,86,2,"2,920"
11,11,Argentina,"3,191,097",,"68,311 ",,"2,854,364",,"268,422","5,375","70,055","1,500","11,983,959","263,085","45,551,588 ",South America,14,667,4,,,"5,893"
12,12,Colombia,"3,031,726",,"78,771 ",,"2,848,153",,"104,802","6,582","59,043","1,534","15,564,899","303,126","51,347,964 ",South America,17,652,3,,,"2,041"
13,13,Poland,"2,842,339","+4,255","70,679 ",+343,"2,582,519","+2,274","189,141","1,859","75,172","1,869","14,960,240","395,659","37,810,938 ",Europe,13,535,3,113,9,"5,002"
14,14,Iran,"2,707,761","+16,409","75,934 ",+366,"2,162,087","+17,890","469,740","5,501","31,888",894,"17,480,333","205,859","84,914,182 ",Asia,31,"1,118",5,193,4,"5,532"
15,15,Mexico,"2,368,393","+1,897","219,323 ",+234,"1,891,052","+2,414","258,018","4,798","18,205","1,686","6,774,089","52,071","130,094,436 ",North America,55,593,19,15,2,"1,983"
16,16,Ukraine,"2,129,073","+4,538","46,987 ",+356,"1,797,136","+19,766","284,950",177,"48,936","1,080","9,682,286","222,544","43,507,340 ",Europe,20,926,4,104,8,"6,549"
17,17,Peru,"1,858,239",,"64,691 ",,"1,720,665",,"72,883","2,660","55,694","1,939","11,761,084","352,495","33,365,278 ",South America,18,516,3,,,"2,184"
18,18,Indonesia,"1,728,204","+4,608","47,617 ",+152,"1,584,878","+4,671","95,709",,"6,262",173,"15,410,887","55,836","276,003,941 ",Asia,160,"5,796",18,17,0.6,347
19,19,Czechia,"1,648,667","+1,673","29,787 ",+15,"1,586,400",+98,"32,480",345,"153,707","2,777","20,529,829","1,914,013","10,726,065 ",Europe,7,360,1,156,1,"3,028"
20,20,South Africa,"1,599,272",,"54,896 ",,"1,519,258",,"25,118",546,"26,677",916,"10,931,906","182,352","59,949,498 ",Africa,37,"1,092",5,,,419
21,21,Netherlands,"1,577,754","+6,356","17,399 ",+16,"1,339,957","+6,631","220,398",726,"91,904","1,013","13,171,698","767,247","17,167,470 ",Europe,11,987,1,370,0.9,"12,838"
22,22,Canada,"1,302,637","+3,065","24,756 ",+42,"1,201,092","+4,273","76,789","1,331","34,256",651,"32,867,352","864,337","38,026,101 ",North America,29,"1,536",1,81,1,"2,019"
23,23,Chile,"1,260,448","+3,902","27,384 ",+28,"1,199,432","+5,505","33,632","3,036","65,454","1,422","13,689,304","710,874","19,257,010 ",South America,15,703,1,203,1,"1,746"
24,24,Iraq,"1,127,580","+4,666","15,855 ",+21,"1,023,584","+5,417","88,141",488,"27,506",387,"9,781,666","238,616","40,993,259 ",Asia,36,"2,586",4,114,0.5,"2,150"
25,25,Philippines,"1,118,359","+4,842","18,714 ",+94,"1,046,431","+8,312","53,214",750,"10,091",169,"12,416,105","112,028","110,830,652 ",Asia,99,"5,922",9,44,0.8,480
26,26,Romania,"1,068,817",+930,"29,233 ",+98,"1,018,642","+1,595","20,942",874,"55,880","1,528","8,558,927","447,477","19,127,080 ",Europe,18,654,2,49,5,"1,095"
27,27,Sweden,"1,027,934",,"14,267 ",+36,"862,235","+3,420","151,432",373,"101,241","1,405","8,798,383","866,550","10,153,344 ",Europe,10,712,1,,4,"14,914"
28,28,Belgium,"1,020,332","+2,456","24,609 ",+26,"897,904","+9,358","97,819",710,"87,710","2,115","13,061,760","1,122,823","11,632,963 ",Europe,11,473,1,211,2,"8,409"
29,29,Pakistan,"867,438","+2,881","19,210 ",+104,"771,692","+5,200","76,536","4,707","3,863",86,"12,310,875","54,822","224,559,097 ",Asia,259,"11,690",18,13,0.5,341
30,30,Portugal,"840,008",,"16,994 ",,"801,306",,"21,708",71,"82,588","1,671","10,967,514","1,078,301","10,171,109 ",Europe,12,599,1,,,"2,134"
31,31,Israel,"839,022",+22,"6,378 ",,"831,794",+56,850,77,"91,222",693,"14,434,897","1,569,422","9,197,590 ",Asia,11,"1,442",1,2,,92
