,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,World,"144,133,088","+588,907","3,064,673","+7,692","122,586,006","+432,002","18,482,409","109,445","18,491",393.2,,,,All,"
",,
36,36,Switzerland,"642,131","+2,686","10,536 ",+4,"573,786","+1,209","57,809",226,"73,763","1,210","6,663,629","765,465","8,705,330 ",Europe,14,826,1
37,37,Austria,"600,089","+2,523","9,997 ",+38,"563,256","+2,764","26,836",557,"66,326","1,105","29,335,166","3,242,318","9,047,592 ",Europe,15,905,0
38,38,Japan,"541,496","+4,342","9,710 ",+39,"488,944","+2,868","42,842",791,"4,292",77,"11,079,602","87,818","126,165,185 ",Asia,233,"12,993",11
39,39,Lebanon,"515,088","+2,082","7,027 ",+32,"433,987","+1,439","74,074",721,"75,739","1,033","3,870,650","569,141","6,800,861 ",Asia,13,968,2
40,40,Morocco,"507,338",+669,"8,969 ",+10,"493,353",+628,"5,016",218,"13,616",241,"6,186,340","166,030","37,260,477 ",Africa,73,"4,154",6
41,41,UAE,"502,791","+1,931","1,561 ",+2,"485,078","+1,898","16,152",,"50,350",156,"42,293,166","4,235,259","9,985,970 ",Asia,20,"6,397",0
42,42,Saudi Arabia,"408,038","+1,028","6,858 ",+12,"391,362",+824,"9,818","1,145","11,577",195,"16,352,116","463,931","35,246,885 ",Asia,86,"5,140",2
43,43,Bulgaria,"390,911",,"15,518 ",,"314,273",,"61,120",765,"56,602","2,247","2,391,777","346,316","6,906,335 ",Europe,18,445,3
44,44,Malaysia,"381,813","+2,340","1,400 ",+11,"358,726","+1,910","21,687",248,"11,677",43,"8,783,027","268,614","32,697,551 ",Asia,86,"23,355",4
45,45,Slovakia,"377,473",+764,"11,304 ",+60,"255,300",,"110,869",411,"69,112","2,070","2,520,570","461,494","5,461,766 ",Europe,14,483,2
46,46,Ecuador,"362,843","+1,689","17,804 ",+60,"309,541",,"35,498",650,"20,319",997,"1,236,484","69,243","17,857,054 ",South America,49,"1,003",14
47,47,Panama,"361,319",,"6,192 ",,"351,228",,"3,899",105,"82,700","1,417","2,312,363","529,265","4,369,010 ",North America,12,706,2
48,48,Belarus,"347,316","+1,318","2,453 ",+10,"337,620","+1,393","7,243",,"36,765",260,"5,705,532","603,963","9,446,826 ",Europe,27,"3,851",2
49,49,Greece,"323,639","+3,010","9,713 ",+86,"278,690",,"35,236",831,"31,173",936,"7,629,407","734,862","10,382,100 ",Europe,32,"1,069",1
50,50,Croatia,"313,423","+3,117","6,692 ",+49,"291,351","+1,687","15,380",230,"76,727","1,638","1,723,697","421,969","4,084,894 ",Europe,13,610,2
51,51,Azerbaijan,"305,933","+2,075","4,235  ",+32,"269,965","+2,480","31,733",,"29,957",415,"3,141,335","307,602","10,212,350 ",Asia,33,"2,411",3
52,52,Georgia,"299,038","+1,310","3,971 ",+12,"282,869",+632,"12,198",,"75,078",997,"3,946,720","990,888","3,983,013 ",Asia,13,"1,003",1
53,53,Kazakhstan,"294,946","+2,696","3,459 ",+23,"252,598","+2,418","38,889",221,"15,559",182,"9,653,519","509,250","18,956,336 ",Asia,64,"5,480",2
54,54,Bolivia,"291,675","+1,313","12,695 ",+29,"240,336","+1,142","38,644",71,"24,718","1,076","1,070,832","90,746","11,800,288 ",South America,40,930,11
55,55,Nepal,"289,787","+2,220","3,112 ",+10,"276,093",+287,"10,582",,"9,805",105,"2,369,401","80,169","29,554,944 ",Asia,102,"9,497",12
56,56,Tunisia,"289,230",,"9,918 ",,"239,104",,"40,208",483,"24,269",832,"1,240,902","104,124","11,917,582 ",Africa,41,"1,202",10
57,57,Palestine,"286,028","+1,748","3,096 ",+18,"254,199","+2,536","28,733",165,"55,050",596,"1,698,129","326,825","5,195,830 ",Asia,18,"1,678",3
58,58,Dominican Republic,"262,404",+556,"3,435 ",+9,"219,645",+383,"39,324",188,"23,997",314,"1,378,669","126,079","10,934,977 ",North America,42,"3,183",8
59,59,Kuwait,"259,868",,"1,468 ",,"243,056",,"15,344",248,"60,140",340,"2,236,571","517,602","4,321,028 ",Asia,17,"2,943",2
60,60,Paraguay,"255,046",,"5,470 ",,"209,754",,"39,822",521,"35,410",759,"1,033,135","143,439","7,202,601 ",South America,28,"1,317",7
61,61,Moldova,"247,391",+700,"5,643 ",+27,"234,204",+923,"7,544",243,"61,442","1,401","949,995","235,940","4,026,427 ",Europe,16,714,4
62,62,Ethiopia,"245,155",,"3,439 ",,"181,935",,"59,781",965,"2,091",29,"2,514,749","21,452","117,229,360 ",Africa,478,"34,088",47
63,63,Denmark,"244,868",+803,"2,465 ",+2,"232,899",+708,"9,504",41,"42,156",424,"33,208,745","5,717,203","5,808,565 ",Europe,24,"2,356",0
64,64,Ireland,"244,695",+398,"4,856 ",+9,"226,272",+509,"13,567",47,"49,117",975,"4,313,778","865,888","4,981,913 ",Europe,20,"1,026",1
65,65,Lithuania,"236,533","+1,113","3,802 ",+14,"213,970",+852,"18,761",206,"87,877","1,413","2,652,037","985,282","2,691,652 ",Europe,11,708,1
66,66,Slovenia,"234,067","+1,034","4,176 ",+4,"217,715","+1,187","12,176",153,"112,577","2,008","1,140,099","548,344","2,079,167 ",Europe,9,498,2
67,67,Costa Rica,"231,967",,"3,104 ",,"199,166",,"29,697",269,"45,206",605,"919,324","179,158","5,131,361 ",North America,22,"1,653",6
68,68,Egypt,"218,041",,"12,820 ",,"164,368",,"40,853",90,"2,099",123,"2,677,262","25,774","103,873,875 ",Africa,476,"8,102",39
69,69,Guatemala,"214,700",,"7,279 ",,"192,519",,"14,902",5,"11,810",400,"1,176,613","64,720","18,179,938 ",North America,85,"2,498",15
70,70,Armenia,"210,518","+1,033","3,944 ",+25,"190,271",+583,"16,303",,"70,937","1,329","946,642","318,983","2,967,689 ",Asia,14,752,3
