,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
79,Kenya,164386,410,2950 ,22,113124,67,48312,119,3001,54,1729345,31567,54782893 ,Africa
80,North Macedonia,154372,150,5151 ,16,139266,487,9955,124,74100,2473,745471,357832,2083300 ,Europe
81,Myanmar,142997,23,3211 ,1,132064,14,7722,,2613,59,2595359,47427,54722988 ,Asia
82,Sri Lanka,132527,1429,850 ,,107657,1016,24020,,6167,40,2951123,137323,21490399 ,Asia
83,Albania,131845,42,2423 ,3,120072,1011,9350,18,45858,843,663580,230803,2875093 ,Europe
84,S. Korea,128918,635,1884 ,5,119373,656,7661,167,2513,37,9201539,179342,51307137 ,Asia
85,Estonia,126064,371,1210 ,4,117108,460,7746,37,94978,912,1341932,1011022,1327302 ,Europe
86,Latvia,125689,729,2223 ,6,114981,1551,8485,81,67278,1190,2438786,1305417,1868204 ,Europe
87,Algeria,124483,,3343 ,,86703,,34437,28,2796,75,230861,5185,44528314 ,Africa
88,Cuba,119375,1207,768 ,13,112461,1136,6146,135,10545,68,3900479,344545,11320667 ,North America
89,Norway,117757,262,774 ,7,88952,,28031,22,21577,142,5423294,993709,5457626 ,Europe
90,Kyrgyzstan,99316,283,1675 ,8,92409,289,5232,85,15011,253,1037894,156869,6616312 ,Asia
91,Montenegro,98546,97,1548 ,3,95368,148,1630,64,156887,2464,389412,619951,628134 ,Europe
92,Uzbekistan,95467,395,666 ,2,90976,312,3825,23,2817,20,1377915,40665,33884609 ,Asia
93,Ghana,93011,,783 ,,90697,,1531,7,2941,25,1108763,35057,31627141 ,Africa
94,Zambia,92152,,1258 ,,90539,,355,42,4896,67,1448213,76940,18822708 ,Africa
95,Finland,88990,,927 ,,46000,,42063,26,16040,167,4679035,843355,5548122 ,Europe
96,Thailand,88907,1983,486 ,34,59043,2006,29378,1207,1271,7,8124896,116152,69950556 ,Asia
97,Cameroon,74946,,1152 ,,70497,,3297,385,2765,42,1518411,56010,27109628 ,Africa
98,El Salvador,70380,,2168 ,4,65921,,2291,28,10804,333,936793,143805,6514320 ,North America
99,Mozambique,70267,,826 ,,67884,,1557,24,2196,26,529546,16547,32001663 ,Africa
100,Cyprus,70098,,339 ,,39061,,30698,57,57698,279,5511355,4536453,1214904 ,Asia
101,Luxembourg,68748,196,806 ,,65513,,2429,30,108317,1270,2748184,4329935,634694 ,Europe
102,Afghanistan,62942,224,2721 ,8,54534,31,5687,1124,1586,69,426560,10751,39676986 ,Asia
103,Singapore,61419,16,31 ,,60975,,413,3,10428,5,10441802,1772852,5889834 ,Asia
104,Namibia,50301,,696 ,,47518,,2087,51,19495,270,402641,156047,2580262 ,Africa
105,Botswana,49041,,751 ,,46290,,2000,1,20500,314,1086267,454086,2392207 ,Africa
106,Jamaica,46922,101,820 ,6,22636,119,23466,14,15787,276,348636,117296,2972273 ,North America
107,Ivory Coast,46484,,292 ,,45910,,282,,1726,11,608960,22608,26935594 ,Africa
108,Mongolia,46448,512,184 ,5,35733,1503,10531,110,13976,55,2800505,842643,3323476 ,Asia
109,Uganda,42427,,346 ,,41971,,110,24,903,7,1044170,22230,46970372 ,Africa
110,Senegal,40762,33,1121 ,1,39460,32,181,12,2381,65,493457,28823,17120176 ,Africa
111,Madagascar,39510,159,738 ,6,36881,248,1891,301,1396,26,193431,6835,28298188 ,Africa
112,Maldives,38520,,87 ,,26795,,11638,90,70204,159,773298,1409358,548688 ,Asia
113,Zimbabwe,38448,,1579 ,,36221,,648,12,2555,105,436994,29040,15048213 ,Africa
114,Sudan,34272,,2446 ,,27949,,3877,,766,55,232965,5209,44723245 ,Africa
115,Malawi,34183,,1153 ,,32170,,860,11,1748,59,236897,12117,19551547 ,Africa
116,Malta,30469,5,417 ,,29860,17,192,,68848,942,889079,2008973,442554 ,Europe
117,DRC,30429,37,775 ,,26541,107,3113,,331,8,154866,1686,91879676 ,Africa
118,Australia,29946,8,910 ,,28815,,221,1,1163,35,17346790,673570,25753517 ,Australia/Oceania
119,Angola,29146,,639 ,,25145,,3362,20,864,19,527590,15639,33736498 ,Africa
120,Cabo Verde,26709,,236 ,,23692,,2781,23,47596,421,156769,279363,561165 ,Africa
121,Rwanda,25773,,340 ,,24333,,1100,,1949,26,1350982,102145,13226156 ,Africa
122,Gabon,23565,,143 ,,20051,,3371,19,10378,63,754964,332501,2270563 ,Africa
123,Syria,23490,,1670 ,,19316,,2504,,1315,93,103566,5798,17863450 ,Asia
124,Guinea,22719,,151 ,,20341,,2227,24,1691,11,444435,33077,13436461 ,Africa
125,Réunion,22644,,169 ,,21603,,872,36,25138,188,102720,114032,900797 ,Africa
126,French Guiana,20877,,106 ,,9995,,10776,25,68385,347,229935,753181,305285 ,South America
127,Cambodia,20695,472,136 ,5,8539,369,12020,,1223,8,1018022,60177,16917166 ,Asia
128,Mayotte,20134,,170 ,,2964,,17000,4,72312,611,174251,625827,278433 ,Africa
129,French Polynesia,18797,,141 ,,18617,,39,1,66584,499,26355,93357,282303 ,Australia/Oceania
130,Mauritania,18691,,456 ,,17918,,317,14,3932,96,244473,51426,4753876 ,Africa
131,Eswatini,18487,,671 ,,17784,,32,3,15795,573,194247,165957,1170466 ,Africa
132,Guadeloupe,16017,,221 ,,2242,,13554,33,40024,552,195404,488287,400183 ,North America
133,Guyana,14531,,331 ,,12443,,1757,16,18398,419,130875,165704,789813 ,South America
134,Somalia,14486,,753 ,,6325,,7408,,890,46,120132,7383,16271101 ,Africa
135,Mali,14133,,506 ,,9073,,4554,,681,24,279721,13482,20747749 ,Africa
136,Trinidad and Tobago,13802,,224 ,,9500,,4078,71,9835,160,147470,105082,1403383 ,North America
137,Andorra,13447,,127 ,,13070,,250,12,173799,1641,193595,2502165,77371 ,Europe
138,Burkina Faso,13384,,164 ,,13180,,40,,626,8,182551,8534,21391839 ,Africa
139,Haiti,13227,,266 ,,12304,,657,,1148,23,60085,5215,11521665 ,North America
140,Togo,13167,,125 ,,11694,,1348,,1559,15,318622,37732,8444354 ,Africa
141,Papua New Guinea,12997,771,130 ,9,10915,248,1952,,1430,14,104674,11513,9091937 ,Australia/Oceania
142,Belize,12704,,323 ,,12307,,74,1,31461,800,122702,303867,403802 ,North America
143,Curaçao,12236,,117 ,,11992,,127,22,74306,711,101029,613524,164670 ,North America
144,Hong Kong,11815,2,210 ,,11505,2,100,3,1565,28,14841321,1965951,7549182 ,Asia
145,Martinique,11736,,90 ,,98,,11548,24,31295,240,170302,454121,375015 ,North America
146,Djibouti,11369,,151 ,,11182,,36,,11366,151,152660,152614,1000304 ,Africa
147,Congo,11343,,148 ,,8208,,2987,,2013,26,141948,25195,5633978 ,Africa
148,Suriname,11306,,220 ,,9907,,1179,25,19126,372,53811,91029,591142 ,South America
149,Bahamas,10908,,214 ,,9854,,840,5,27513,540,90693,228753,396467 ,North America
150,Aruba,10795,,104 ,,10596,,95,14,100741,971,154991,1446405,107156 ,North America
151,Lesotho,10774,1,319 ,,6427,,4028,,4995,148,85504,39643,2156825 ,Africa
152,South Sudan,10641,,115 ,,10462,,64,,941,10,156542,13846,11306223 ,Africa
153,Seychelles,8172,,28 ,,5658,,2486,,82654,283,21504,217498,98870 ,Africa
154,Benin,7995,,101 ,,7652,,242,35,645,8,595112,48016,12393984 ,Africa
155,Equatorial Guinea,7694,,112 ,,7279,,303,7,5335,78,123169,85404,1442193 ,Africa
156,Nicaragua,7086,,184 ,,4225,,2677,,1059,27,,,6692112 ,North America
157,CAR,6674,,93 ,,5112,,1469,2,1362,19,40907,8346,4901608 ,Africa
158,Iceland,6526,4,29 ,,6422,13,75,3,19018,85,622370,1813723,343145 ,Europe
159,Yemen,6492,,1276 ,,3003,,2213,23,214,42,34287,1128,30387003 ,Asia
160,Gambia,5934,,175 ,,5648,,111,3,2398,71,76379,30866,2474524 ,Africa
161,Niger,5324,,192 ,,4929,,203,2,213,8,101502,4068,24951059 ,Africa
162,San Marino,5083,,90 ,,4968,,25,4,149535,2648,63241,1860467,33992 ,Europe
163,Chad,4888,,172 ,,4661,,55,,290,10,115822,6883,16827427 ,Africa
164,Saint Lucia,4700,,75 ,,4473,,152,1,25495,407,42151,228649,184348 ,North America
165,Gibraltar,4286,,94 ,,4189,,3,,127249,2791,240870,7151297,33682 ,Europe
166,Burundi,4208,,6 ,,773,,3429,,345,05,279132,22894,12192376 ,Africa
167,Sierra Leone,4089,,79 ,,3093,,917,,504,10,153257,18884,8115616 ,Africa
168,Channel Islands,4057,,86 ,,3956,,15,,23151,491,454413,2593119,175238 ,Europe
169,Barbados,3950,,45 ,,3870,,35,,13731,156,159886,555781,287678 ,North America
170,Comoros,3860,,146 ,,3688,,26,,4359,165,,,885426 ,Africa
171,Eritrea,3818,,12 ,,3627,,179,,1064,3,23693,6603,3588465 ,Africa
172,Guinea-Bissau,3741,,67 ,,3400,,274,9,1863,33,64758,32255,2007704 ,Africa
173,Timor-Leste,3626,133,5 ,,1894,125,1727,,2706,4,84361,62960,1339916 ,Asia
174,Vietnam,3623,86,35 ,,2636,18,952,,37,04,2958119,30157,98090024 ,Asia
175,Liechtenstein,2978,3,58 ,,2887,,33,3,77913,1517,39109,1023207,38222 ,Europe
176,New Zealand,2643,,26 ,,2591,,26,,528,5,2059727,411772,5002100 ,Australia/Oceania
177,Monaco,2486,,32 ,,2423,,31,1,62967,811,51953,1315899,39481 ,Europe
178,Bermuda,2455,,31 ,,2182,,242,14,39546,499,250225,4030686,62080 ,North America
179,Turks and Caicos,2404,,17 ,,2365,,22,2,61380,434,65926,1683246,39166 ,North America
180,Sao Tome and Principe,2320,,35 ,,2269,,16,,10420,157,12999,58386,222639 ,Africa
181,Sint Maarten,2268,,27 ,,2208,,33,2,52387,624,26880,620886,43293 ,North America
182,Liberia,2114,,85 ,,1962,,67,2,410,16,97875,18971,5159153 ,Africa
183,St. Vincent Grenadines,1926,4,12 ,,1748,7,166,2,17313,108,46562,418561,111243 ,North America
184,Saint Martin,1773,,12 ,,1399,,362,7,45195,306,27588,703237,39230 ,North America
185,Isle of Man,1590,,29 ,,1552,2,9,1,18614,339,44761,524011,85420 ,Europe
186,Caribbean Netherlands,1583,,17 ,,1548,,18,,59890,643,10040,379843,26432 ,North America
187,Laos,1417,55,1 ,,328,31,1088,,192,01,208030,28242,7365974 ,Asia
188,Mauritius,1266,10,17 ,,1128,3,121,,994,13,358675,281627,1273583 ,Africa
189,Bhutan,1257,10,1 ,,1121,20,135,,1614,1,734065,942447,778893 ,Asia
190,Antigua and Barbuda,1240,2,32 ,,1179,1,29,4,12573,324,16700,169328,98625 ,North America
191,Taiwan,1231,21,12 ,,1097,4,122,,52,05,571259,23948,23853843 ,Asia
192,St. Barth,974,,1 ,,462,,511,,98354,101,26385,2664344,9903 ,North America
193,Faeroe Islands,669,,1 ,,663,1,5,,13647,20,258096,5264794,49023 ,Europe
194,Cayman Islands,548,,2 ,,537,,9,,8255,30,91940,1384972,66384 ,North America
195,Tanzania,509,,21 ,,183,,305,7,8,03,,,61183891 ,Africa
196,Wallis and Futuna,445,,7 ,,44,,394,1,40202,632,17264,1559671,11069 ,Australia/Oceania
197,Brunei ,230,,3 ,,218,,9,,521,7,122292,277261,441072 ,Asia
198,British Virgin Islands,219,,1 ,,193,,25,,7203,33,39777,1308282,30404 ,North America
199,Fiji,161,9,3 ,,106,5,52,,178,3,70792,78481,902022 ,Australia/Oceania
200,New Caledonia,124,, ,,58,,66,,431,,31166,108271,287852 ,Australia/Oceania
201,Anguilla,109,, ,,89,,20,,7210,,21630,1430745,15118 ,North America
202,Saint Kitts and Nevis,45,, ,,44,,1,,841,,13691,255801,53522 ,North America
203,Vatican City,27,, ,,15,,12,,33624,,,,803 ,Europe
204,Western Sahara,10,,1 ,,8,,1,,16,2,,,609870 ,Africa
205,Samoa,3,, ,,2,,1,,15,,,,199546 ,Australia/Oceania
206,China,90799,16,4636 ,,85861,16,302,,63,3,160000000,111163,1439323776 ,Asia
207,Tajikistan,13308,,90 ,,13218,,0,,1369,9,,,9720578 ,Asia
208,Diamond Princess,712,,13 ,,699,,0,,,,,, ,Ship
209,Grenada,161,1,1 ,,160,2,0,,1425,9,28684,253906,112971 ,North America
210,Montserrat,20,,1 ,,19,,0,,4004,200,1313,262863,4995 ,North America
211,MS Zaandam,9,,2 ,,7,,0,,,,,, ,Ship
212,Vanuatu,4,,1 ,,3,,0,,13,3,23000,73419,313272 ,Australia/Oceania
213,Dominica,175,, ,,175,,0,,2426,,15546,215498,72140 ,North America
214,Falkland Islands,63,, ,,63,,0,,17667,,7258,2035334,3566 ,South America
215,Macao,49,, ,,49,,0,,75,,4483,6824,656918 ,Asia
216,Greenland,31,, ,,31,,0,,545,,20669,363539,56855 ,North America
217,Saint Pierre Miquelon,25,, ,,25,,0,,4333,,5318,921664,5770 ,North America
218,Solomon Islands,20,, ,,20,,0,,29,,4500,6417,701257 ,Australia/Oceania
219,Marshall Islands,4,, ,,4,,0,,67,,,,59533 ,Australia/Oceania
220,Saint Helena,2,, ,,2,,0,,328,,,,6093 ,Africa
221,Micronesia,1,, ,,1,,0,,9,,,,116057 ,Australia/Oceania
